section,key,value
fps_summary,compute_logic,"Each successful left/right cycle is treated as one hardware-synced frame pair. The pair timestamp is taken immediately after the right-camera retrieve completes, making it a conservative lower-bound arrival time for the pair. FPS is computed from pair-delivery timing after excluding the warmup period."
fps_summary,warmup_duration_seconds,2.0
fps_summary,capture_duration_seconds,10.0
fps_summary,requested_width,640
fps_summary,requested_height,480
fps_summary,requested_fps,100
fps_summary,camera0_device_id,0
fps_summary,camera1_device_id,2
fps_summary,camera0_backend,CAP_DSHOW
fps_summary,camera1_backend,CAP_DSHOW
fps_summary,run_start_perf_counter_ns,442316180270000
fps_summary,warmup_end_perf_counter_ns,442318180270000
fps_summary,capture_end_perf_counter_ns,442328181020200
fps_summary,frame_pair_fps,64.996964
fps_summary,frame_pair_count,651
fps_summary,failed_cycles,0
fps_summary,capture_methods,"OrderedDict([('grab_retrieve', 780)])"
fps_summary,failure_counts,"OrderedDict([('grab_failed', 0), ('retrieve_left', 0), ('retrieve_right', 0), ('stall_timeout', 0)])"
camera0,device_id,0
camera0,backend,CAP_DSHOW
camera0,reported_width,640
camera0,reported_height,480
camera0,reported_fps,100.0
camera0,reported_fourcc,MJPG
camera1,device_id,2
camera1,backend,CAP_DSHOW
camera1,reported_width,640
camera1,reported_height,480
camera1,reported_fps,100.0
camera1,reported_fourcc,MJPG
pair_delivery,frame_pair_count,651
pair_delivery,successful_cycles,651
pair_delivery,failed_cycles,0
pair_delivery,calculated_pair_fps,64.996964
pair_delivery,pair_delta_summary,"OrderedDict([('interval_count', 650), ('mean_delta_ms', 15.385334), ('median_delta_ms', 15.978), ('min_delta_ms', 6.3569), ('max_delta_ms', 16.9324)])"

frame_pair_index,frame_delta_ms
131,15.7803
132,16.0019
133,16.0296
134,16.1816
135,16.1517
136,15.7886
137,15.9549
138,15.9059
139,16.2202
140,15.7529
141,16.0216
142,15.9911
143,9.3838
144,15.8489
145,15.9729
146,15.9407
147,16.1144
148,15.9104
149,16.2241
150,15.9915
151,15.8876
152,15.9462
153,16.3182
154,6.6897
155,15.8329
156,16.1068
157,16.0649
158,15.9869
159,16.4008
160,15.5016
161,16.1252
162,15.8699
163,16.4686
164,15.6299
165,15.9864
166,15.8739
167,16.0199
168,16.4766
169,8.8831
170,16.3221
171,15.606
172,16.0207
173,16.0243
174,15.9862
175,15.9077
176,16.241
177,15.8187
178,15.8518
179,16.2987
180,6.4739
181,16.2076
182,15.9453
183,16.1441
184,15.9269
185,15.7608
186,16.3641
187,15.8429
188,16.008
189,16.0127
190,15.9994
191,16.0753
192,15.9545
193,15.9209
194,15.8884
195,9.0885
196,16.3167
197,16.0071
198,15.9813
199,16.0568
200,16.0066
201,16.0568
202,16.0409
203,16.0882
204,15.9818
205,15.9613
206,6.4058
207,16.0199
208,16.3009
209,15.8168
210,15.9715
211,15.9637
212,15.9149
213,16.0438
214,16.0562
215,16.3399
216,15.7602
217,15.8768
218,16.0493
219,15.9139
220,16.1245
221,9.1278
222,15.9779
223,16.0312
224,15.893
225,16.0296
226,16.0064
227,16.3616
228,15.8226
229,15.6927
230,16.3012
231,15.9105
232,6.8581
233,15.8774
234,16.2591
235,15.8885
236,15.8744
237,15.9704
238,16.0447
239,16.191
240,16.029
241,15.902
242,15.9396
243,15.9195
244,16.1887
245,15.8805
246,16.2467
247,9.0109
248,16.0374
249,16.0078
250,15.9539
251,15.9763
252,15.7757
253,16.2329
254,16.0311
255,15.9813
256,16.0045
257,16.4691
258,6.3569
259,15.9607
260,16.0551
261,16.0523
262,15.7625
263,16.0102
264,16.0256
265,16.2457
266,16.3292
267,15.8479
268,15.5772
269,16.2657
270,15.6805
271,16.0235
272,16.3198
273,8.8378
274,15.971
275,16.1334
276,16.1953
277,15.7651
278,16.1985
279,16.1752
280,15.7712
281,15.9781
282,15.8561
283,15.9501
284,7.1023
285,15.7684
286,16.0953
287,16.3444
288,15.622
289,16.1453
290,15.9258
291,15.9044
292,16.0368
293,15.9991
294,15.9489
295,16.0281
296,15.865
297,16.2304
298,15.877
299,9.1185
300,15.9274
301,16.6593
302,15.5482
303,16.257
304,16.014
305,15.5304
306,16.4862
307,15.8103
308,15.8618
309,16.169
310,6.8418
311,15.7458
312,16.1057
313,15.9133
314,16.1621
315,15.8095
316,16.0089
317,16.0231
318,15.9969
319,16.5536
320,15.6423
321,15.8922
322,16.2641
323,15.7444
324,15.895
325,9.3544
326,16.1424
327,15.9213
