time_s,raw_x,raw_y,raw_z,kf_x,kf_y,kf_z,kf_vx,kf_vy,kf_vz
0.000000,381.00,2223.83,-660.26,381.00,2223.83,-660.26,0.00,0.00,0.00
0.022914,372.19,2148.67,-730.73,373.21,2157.43,-691.72,-155.16,-1323.38,-800.42
0.047495,365.51,2075.12,-803.60,366.25,2084.60,-762.86,-242.47,-2440.51,-1933.06
0.071930,369.89,1999.29,-874.16,367.40,2005.99,-847.08,-95.72,-2834.21,-2667.43
0.096709,356.93,1929.27,-962.90,359.72,1931.51,-940.66,-180.04,-2901.76,-3197.67
0.121709,362.55,1856.35,-1040.60,359.48,1857.44,-1031.80,-125.48,-2921.25,-3522.65
0.147027,359.68,1790.71,-1076.58,358.06,1787.25,-1103.23,-106.51,-2880.65,-3595.20
0.181313,359.60,1743.65,-1008.29,357.08,1716.81,-1134.91,-82.66,-2627.07,-3245.48
0.209748,352.72,1651.45,-885.07,353.80,1646.42,-1094.44,-90.10,-2592.46,-2671.74
0.239967,357.60,1604.21,-831.13,357.60,1604.21,-831.13,0.00,0.00,0.00
0.261659,369.42,1557.62,-776.65,367.99,1563.28,-809.95,205.67,-810.66,252.41
0.283312,349.73,1511.78,-744.87,354.60,1519.06,-775.11,-327.84,-1608.13,652.61
0.334240,440.86,1396.97,-644.85,429.07,1401.58,-676.29,993.51,-2123.91,1045.78
0.355748,440.92,1358.58,-623.51,444.54,1357.56,-638.61,921.23,-2103.53,1004.13
0.377025,345.67,1293.79,-613.53,403.55,1303.08,-616.80,259.13,-2209.78,818.20
0.402701,337.32,1246.41,-603.22,375.74,1246.37,-600.75,-75.60,-2209.43,553.30
0.431628,343.87,1206.10,-598.40,360.09,1193.19,-592.58,-192.27,-2116.50,244.70
0.460133,336.11,1162.53,-601.06,346.68,1145.58,-593.78,-255.27,-2015.41,-60.09
0.488954,433.45,1121.35,-596.53,377.73,1101.31,-598.54,31.61,-1912.24,-337.07
0.519890,337.36,1040.01,-629.16,362.24,1041.30,-618.76,-86.37,-1918.36,-666.23
0.548347,327.41,997.32,-649.16,347.46,990.75,-644.00,-173.02,-1889.95,-956.30
0.577712,329.15,960.14,-670.56,337.45,944.52,-674.62,-207.36,-1825.33,-1236.78
0.606263,413.46,929.96,-705.01,361.34,906.07,-711.42,0.54,-1730.01,-1506.10
0.635091,320.49,842.05,-776.18,346.66,851.11,-763.57,-102.26,-1765.60,-1808.29
0.664767,333.50,809.35,-816.40,339.98,802.54,-820.20,-127.84,-1738.71,-2093.93
0.693828,335.03,776.42,-861.22,335.82,760.76,-879.10,-130.96,-1677.09,-2354.61
0.722802,326.72,705.51,-967.25,330.13,709.79,-955.36,-144.36,-1693.90,-2654.38
0.752586,323.64,669.46,-1033.14,325.04,662.98,-1037.39,-149.93,-1668.19,-2941.14
0.810364,329.12,582.36,-990.12,322.20,573.79,-1157.39,-108.28,-1616.65,-3246.65
0.838731,327.82,550.97,-937.27,322.73,537.50,-1168.71,-82.19,-1547.50,-3189.20
0.867642,330.51,524.36,-896.64,330.51,524.36,-896.64,0.00,0.00,0.00
0.888970,326.65,466.46,-826.42,327.13,473.59,-869.16,-66.75,-1002.94,377.73
0.911977,321.06,435.35,-796.53,321.97,438.39,-828.26,-172.35,-1356.69,817.68
