throw_id,frame_idx,timestamp_s,dt_ms,cam_x,cam_y,cam_z,rob_x,rob_y,rob_z,accepted,reject_reason,disparity,reproj_err,kf_pos_x,kf_pos_y,kf_pos_z,vel_x,vel_y,vel_z,kf_ready,kf_updates,buf_size,pred_x,pred_y,pred_z,pred_t_ms,pred_vx,pred_vy,pred_vz,confidence,spread_mm,hit_ratio,clamped,clamp_dist,bounces
19,0,1217458.927124,,81.81,15.04,154.4,-154.6,2506.8,-865.3,True,,270.0,0.1,-154.6,2506.8,-865.3,,,,False,1,1,,,,,,,,,,,,,0
19,1,1217458.955816,28.69,72.44,20.86,155.21,-105.7,2428.9,-926.7,True,,267.2,0.9,-105.7,2428.9,-926.7,,,,False,2,2,,,,,,,,,,,,,0
19,2,1217458.972272,16.46,64.47,27.19,159.14,-89.8,2347.7,-997.7,True,,259.3,0.3,-87.5,2354.6,-991.1,,,,False,3,3,,,,,,,,,,,,,0
19,3,1217459.002901,30.63,56.03,33.42,161.27,-56.4,2271.4,-1065.1,True,,254.7,0.4,-47.5,2270.8,-1066.2,,,,False,4,4,,,,,,,,,,,,,0
19,4,1217459.023498,20.6,47.96,39.88,164.53,-34.2,2192.8,-1136.3,True,,248.5,0.2,-24.7,2203.5,-1129.4,,,,False,5,5,,,,,,,,,,,,,0
19,5,1217459.040727,17.23,41.54,34.61,164.72,-8.9,2131.4,-1086.5,True,,247.4,0.2,-4.1,2143.5,-1138.2,,,,False,6,6,,,,,,,,,,,,,0
19,6,1217459.067737,27.01,35.84,28.16,165.24,8.4,2073.1,-1025.4,True,,245.9,0.1,20.9,2067.2,-1118.5,1224.1,-2967.6,-1628.2,True,7,7,,,,,,,,,,,,,0
19,7,1217459.084825,17.09,29.92,22.21,164.63,37.1,2019.3,-967.3,True,,246.1,0.1,37.1,2019.3,-967.3,,,,False,2,2,,,,,,,,,,,,,1
19,8,1217459.115343,30.52,24.17,17.18,165.51,53.4,1960.2,-920.9,True,,244.0,0.2,59.8,1953.5,-911.3,,,,False,3,3,,,,,,,,,,,,,1
19,9,1217459.135557,20.21,18.43,12.38,165.85,74.5,1904.4,-875.7,True,,242.8,0.5,82.8,1898.3,-865.0,,,,False,4,4,,,,,,,,,,,,,1
19,10,1217459.15255,16.99,12.85,8.01,166.22,95.0,1850.0,-834.8,True,,241.6,0.2,102.4,1848.5,-827.3,,,,False,5,5,,,,,,,,,,,,,1
19,11,1217459.180555,28.0,7.17,4.4,165.71,124.4,1800.3,-800.0,True,,241.6,0.1,133.1,1783.2,-782.4,,,,False,6,6,,,,,,,,,,,,,1
19,12,1217459.197557,17.0,1.58,1.33,167.51,134.5,1740.1,-774.2,True,,238.4,0.4,145.6,1738.4,-762.2,1170.4,-2705.4,1570.7,True,7,7,,,,,,,,,,,,,1
19,13,1217459.213349,15.79,-3.72,-1.25,167.17,161.7,1693.7,-749.7,True,,238.2,0.2,163.1,1694.8,-743.2,1158.3,-2715.0,1360.0,True,8,8,,,,,,,,,,,,,1
19,14,1217459.247673,34.32,-9.37,-3.24,169.09,172.4,1633.6,-734.8,True,,234.9,0.2,188.3,1616.9,-717.8,1011.5,-2561.1,866.5,True,9,9,,,,,,,,,,,,,1
19,15,1217459.264146,16.47,-14.52,-4.63,168.57,201.8,1590.8,-721.7,True,,235.0,0.1,203.7,1581.2,-711.7,999.6,-2500.4,641.2,True,10,10,,,,,,,,,,,,,1
19,16,1217459.291674,27.53,-19.92,-5.68,170.04,216.1,1536.0,-715.3,True,,232.4,0.4,225.1,1522.0,-704.9,948.1,-2419.7,311.5,True,10,10,,,,,,,,,,,,,1
19,17,1217459.309268,17.59,-25.54,-6.2,170.88,237.7,1483.2,-713.1,True,,230.7,0.1,240.3,1480.7,-705.3,936.2,-2408.9,103.7,True,10,10,,,,,,,,,,,,,1
19,18,1217459.324833,15.56,-30.77,-6.17,172.59,250.3,1429.8,-717.7,True,,227.9,0.2,253.4,1438.9,-709.0,924.9,-2442.4,-81.0,True,10,10,,,,,,,,,,,,,1
19,19,1217459.362023,37.19,-36.02,-5.62,173.94,266.9,1378.7,-726.8,True,,225.6,0.4,280.1,1359.3,-721.7,868.3,-2359.5,-467.6,True,10,10,699.4,126.7,-944.5,600.0,678.7,-1844.3,-1080.0,1.0,0.0,1.0,True,38.2,1
19,20,1217459.38435,22.33,-41.14,-4.81,174.62,288.7,1332.4,-737.4,True,,224.2,0.2,295.8,1315.5,-735.5,841.3,-2295.2,-693.5,True,10,10,698.8,128.2,-957.1,595.0,659.8,-1800.0,-1230.4,1.0,0.0,1.0,True,36.1,1
