source,time_ms,meas_x,meas_y,meas_z,kf_x,kf_y,kf_z,kf_vx,kf_vy,kf_vz,pred_x,pred_y,pred_z,intercept_x,intercept_y,intercept_z,bounces
measured,0.0,-1200.3,59.3,-1232.7,-1200.3,59.3,-1232.7,,,,,,,,,,0
measured,36.8,-1206.2,68.9,-1229.5,-1206.2,68.9,-1229.5,,,,,,,,,,0
measured,67.1,-1235.5,68.7,-1230.3,-1235.5,68.7,-1230.3,,,,,,,,,,0
measured,107.9,-1263.7,64.4,-1233.0,-1263.7,64.4,-1233.0,,,,,,,,,,0
measured,142.3,-1278.6,72.1,-1232.1,-1279.5,71.0,-1233.6,-593.9,57.5,-690.9,,,,,,,0
measured,176.3,-1269.9,99.7,-1223.0,-1272.4,97.4,-1225.2,-471.9,163.2,-817.8,,,,,,,0
measured,205.9,-1267.9,118.2,-1213.5,-1267.6,118.6,-1215.2,-380.0,240.3,-916.4,,,,,,,0
measured,238.4,-1281.9,118.5,-1205.3,-1279.7,121.2,-1206.4,-341.7,255.4,-1040.5,,,,,,,0
measured,703.1,,,,-1279.7,121.2,-1206.4,-341.7,255.4,-1040.5,,,,,,,0
measured,764.5,,,,-1279.7,121.2,-1206.4,-341.7,255.4,-1040.5,,,,,,,0
measured,803.2,,,,-1279.7,121.2,-1206.4,-341.7,255.4,-1040.5,,,,,,,0
measured,844.2,,,,-1279.7,121.2,-1206.4,-341.7,255.4,-1040.5,,,,,,,0
measured,894.4,,,,-1279.7,121.2,-1206.4,-341.7,255.4,-1040.5,,,,,,,0
measured,933.7,,,,-1279.7,121.2,-1206.4,-341.7,255.4,-1040.5,,,,,,,0
measured,969.5,,,,-1279.7,121.2,-1206.4,-341.7,255.4,-1040.5,,,,,,,0
measured,1012.7,,,,-1279.7,121.2,-1206.4,-341.7,255.4,-1040.5,,,,,,,0
measured,1049.3,,,,-1279.7,121.2,-1206.4,-341.7,255.4,-1040.5,,,,,,,0
measured,1087.5,,,,-1279.7,121.2,-1206.4,-341.7,255.4,-1040.5,,,,,,,0
measured,1120.5,,,,-1279.7,121.2,-1206.4,-341.7,255.4,-1040.5,,,,,,,0
measured,1155.0,,,,-1279.7,121.2,-1206.4,-341.7,255.4,-1040.5,,,,,,,0
predicted,-8587.1,,,,,,,,,,323.1,1463.1,-774.2,100.4,-21.6,-891.7,0
predicted,-8582.1,,,,,,,,,,320.6,1446.8,-774.1,100.4,-21.6,-891.7,0
predicted,-8577.1,,,,,,,,,,318.2,1430.5,-774.3,100.4,-21.6,-891.7,0
predicted,-8572.1,,,,,,,,,,315.8,1414.3,-774.7,100.4,-21.6,-891.7,0
predicted,-8567.1,,,,,,,,,,313.3,1398.1,-775.3,100.4,-21.6,-891.7,0
predicted,-8562.1,,,,,,,,,,310.9,1382.0,-776.2,100.4,-21.6,-891.7,0
predicted,-8557.1,,,,,,,,,,308.5,1365.9,-777.3,100.4,-21.6,-891.7,0
predicted,-8552.1,,,,,,,,,,306.1,1349.9,-778.7,100.4,-21.6,-891.7,0
predicted,-8547.1,,,,,,,,,,303.7,1334.0,-780.3,100.4,-21.6,-891.7,0
predicted,-8542.1,,,,,,,,,,301.3,1318.0,-782.2,100.4,-21.6,-891.7,0
predicted,-8537.1,,,,,,,,,,299.0,1302.2,-784.3,100.4,-21.6,-891.7,0
predicted,-8532.1,,,,,,,,,,296.6,1286.3,-786.6,100.4,-21.6,-891.7,0
predicted,-8527.1,,,,,,,,,,294.2,1270.5,-789.2,100.4,-21.6,-891.7,0
predicted,-8522.1,,,,,,,,,,291.8,1254.8,-792.0,100.4,-21.6,-891.7,0
predicted,-8517.1,,,,,,,,,,289.5,1239.1,-795.0,100.4,-21.6,-891.7,0
predicted,-8512.1,,,,,,,,,,287.1,1223.4,-798.3,100.4,-21.6,-891.7,0
predicted,-8507.1,,,,,,,,,,284.8,1207.8,-801.8,100.4,-21.6,-891.7,0
predicted,-8502.1,,,,,,,,,,282.5,1192.3,-805.6,100.4,-21.6,-891.7,0
predicted,-8497.1,,,,,,,,,,280.1,1176.8,-809.6,100.4,-21.6,-891.7,0
predicted,-8492.1,,,,,,,,,,277.8,1161.3,-813.8,100.4,-21.6,-891.7,0
predicted,-8487.1,,,,,,,,,,275.5,1145.9,-818.2,100.4,-21.6,-891.7,0
predicted,-8482.1,,,,,,,,,,273.2,1130.5,-822.9,100.4,-21.6,-891.7,0
predicted,-8477.1,,,,,,,,,,270.9,1115.2,-827.8,100.4,-21.6,-891.7,0
predicted,-8472.1,,,,,,,,,,268.6,1099.9,-833.0,100.4,-21.6,-891.7,0
predicted,-8467.1,,,,,,,,,,266.3,1084.6,-838.4,100.4,-21.6,-891.7,0
predicted,-8462.1,,,,,,,,,,264.0,1069.4,-844.0,100.4,-21.6,-891.7,0
predicted,-8457.1,,,,,,,,,,261.8,1054.3,-849.8,100.4,-21.6,-891.7,0
predicted,-8452.1,,,,,,,,,,259.5,1039.2,-855.9,100.4,-21.6,-891.7,0
predicted,-8447.1,,,,,,,,,,257.2,1024.1,-862.1,100.4,-21.6,-891.7,0
predicted,-8442.1,,,,,,,,,,255.0,1009.1,-868.7,100.4,-21.6,-891.7,0
predicted,-8437.1,,,,,,,,,,252.7,994.1,-875.4,100.4,-21.6,-891.7,0
predicted,-8432.1,,,,,,,,,,250.5,979.2,-882.4,100.4,-21.6,-891.7,0
predicted,-8427.1,,,,,,,,,,248.3,964.3,-889.6,100.4,-21.6,-891.7,0
predicted,-8422.1,,,,,,,,,,246.0,949.5,-897.0,100.4,-21.6,-891.7,0
predicted,-8417.1,,,,,,,,,,243.8,934.7,-904.6,100.4,-21.6,-891.7,0
predicted,-8412.1,,,,,,,,,,241.6,919.9,-912.5,100.4,-21.6,-891.7,0
predicted,-8407.1,,,,,,,,,,239.4,905.2,-920.6,100.4,-21.6,-891.7,0
predicted,-8402.1,,,,,,,,,,237.2,890.5,-928.9,100.4,-21.6,-891.7,0
predicted,-8397.1,,,,,,,,,,235.0,875.9,-937.4,100.4,-21.6,-891.7,0
predicted,-8392.1,,,,,,,,,,232.8,861.4,-946.1,100.4,-21.6,-891.7,0
predicted,-8387.1,,,,,,,,,,230.6,846.8,-955.1,100.4,-21.6,-891.7,0
predicted,-8382.1,,,,,,,,,,228.5,832.3,-964.3,100.4,-21.6,-891.7,0
predicted,-8377.1,,,,,,,,,,226.3,817.9,-973.7,100.4,-21.6,-891.7,0
predicted,-8372.1,,,,,,,,,,224.1,803.5,-983.3,100.4,-21.6,-891.7,0
predicted,-8367.1,,,,,,,,,,222.0,789.2,-993.1,100.4,-21.6,-891.7,0
predicted,-8362.1,,,,,,,,,,219.9,774.9,-1003.2,100.4,-21.6,-891.7,0
predicted,-8357.1,,,,,,,,,,217.7,760.6,-1013.4,100.4,-21.6,-891.7,0
predicted,-8352.1,,,,,,,,,,215.6,746.4,-1023.9,100.4,-21.6,-891.7,0
predicted,-8347.1,,,,,,,,,,213.5,732.2,-1034.6,100.4,-21.6,-891.7,0
predicted,-8342.1,,,,,,,,,,211.3,718.1,-1045.4,100.4,-21.6,-891.7,0
predicted,-8337.1,,,,,,,,,,209.2,704.0,-1056.5,100.4,-21.6,-891.7,0
predicted,-8332.1,,,,,,,,,,207.1,690.0,-1067.9,100.4,-21.6,-891.7,0
predicted,-8327.1,,,,,,,,,,205.0,676.0,-1079.4,100.4,-21.6,-891.7,0
predicted,-8322.1,,,,,,,,,,202.9,662.1,-1091.1,100.4,-21.6,-891.7,0
predicted,-8317.1,,,,,,,,,,200.9,648.2,-1103.0,100.4,-21.6,-891.7,0
predicted,-8312.1,,,,,,,,,,198.9,635.1,-1105.1,100.4,-21.6,-891.7,1
predicted,-8307.1,,,,,,,,,,197.1,622.9,-1094.0,100.4,-21.6,-891.7,1
predicted,-8302.1,,,,,,,,,,195.2,610.9,-1083.2,100.4,-21.6,-891.7,1
predicted,-8297.1,,,,,,,,,,193.4,598.8,-1072.6,100.4,-21.6,-891.7,1
predicted,-8292.1,,,,,,,,,,191.6,586.8,-1062.3,100.4,-21.6,-891.7,1
predicted,-8287.1,,,,,,,,,,189.8,574.8,-1052.3,100.4,-21.6,-891.7,1
predicted,-8282.1,,,,,,,,,,188.0,562.8,-1042.5,100.4,-21.6,-891.7,1
predicted,-8277.1,,,,,,,,,,186.3,550.9,-1033.0,100.4,-21.6,-891.7,1
predicted,-8272.1,,,,,,,,,,184.5,539.0,-1023.8,100.4,-21.6,-891.7,1
predicted,-8267.1,,,,,,,,,,182.7,527.2,-1014.9,100.4,-21.6,-891.7,1
predicted,-8262.1,,,,,,,,,,180.9,515.3,-1006.2,100.4,-21.6,-891.7,1
predicted,-8257.1,,,,,,,,,,179.1,503.5,-997.8,100.4,-21.6,-891.7,1
predicted,-8252.1,,,,,,,,,,177.4,491.8,-989.7,100.4,-21.6,-891.7,1
predicted,-8247.1,,,,,,,,,,175.6,480.0,-981.8,100.4,-21.6,-891.7,1
predicted,-8242.1,,,,,,,,,,173.9,468.3,-974.2,100.4,-21.6,-891.7,1
predicted,-8237.1,,,,,,,,,,172.1,456.7,-966.9,100.4,-21.6,-891.7,1
predicted,-8232.1,,,,,,,,,,170.4,445.0,-959.8,100.4,-21.6,-891.7,1
predicted,-8227.1,,,,,,,,,,168.6,433.4,-953.0,100.4,-21.6,-891.7,1
predicted,-8222.1,,,,,,,,,,166.9,421.8,-946.5,100.4,-21.6,-891.7,1
predicted,-8217.1,,,,,,,,,,165.2,410.3,-940.2,100.4,-21.6,-891.7,1
predicted,-8212.1,,,,,,,,,,163.4,398.7,-934.2,100.4,-21.6,-891.7,1
predicted,-8207.1,,,,,,,,,,161.7,387.2,-928.4,100.4,-21.6,-891.7,1
predicted,-8202.1,,,,,,,,,,160.0,375.8,-922.9,100.4,-21.6,-891.7,1
predicted,-8197.1,,,,,,,,,,158.3,364.3,-917.6,100.4,-21.6,-891.7,1
predicted,-8192.1,,,,,,,,,,156.5,352.9,-912.6,100.4,-21.6,-891.7,1
predicted,-8187.1,,,,,,,,,,154.8,341.5,-907.9,100.4,-21.6,-891.7,1
predicted,-8182.1,,,,,,,,,,153.1,330.1,-903.4,100.4,-21.6,-891.7,1
predicted,-8177.1,,,,,,,,,,151.4,318.8,-899.2,100.4,-21.6,-891.7,1
predicted,-8172.1,,,,,,,,,,149.7,307.4,-895.2,100.4,-21.6,-891.7,1
predicted,-8167.1,,,,,,,,,,148.0,296.1,-891.5,100.4,-21.6,-891.7,1
predicted,-8162.1,,,,,,,,,,146.3,284.9,-888.1,100.4,-21.6,-891.7,1
predicted,-8157.1,,,,,,,,,,144.7,273.6,-884.8,100.4,-21.6,-891.7,1
