"time_s","corr_x","corr_y","corr_z"
"0.000000","4.82","2594.15","-1151.36"
"0.031135","-11.41","2593.24","-1157.54"
"0.054024","-4.83","2581.77","-1154.76"
"0.077847","-9.82","2579.02","-1156.78"
"0.100801","-20.87","2578.78","-1161.30"
"0.122980","-11.66","2565.13","-1156.47"
"0.144447","16.46","2535.66","-1145.82"
"0.173328","14.17","2530.36","-1147.06"
"0.194895","20.43","2520.77","-1144.86"
"0.242761","12.30","2510.01","-1147.99"
"0.264358","7.32","2505.79","-1148.96"
"0.287359","7.66","2499.50","-1149.41"
"0.337829","-4.36","2488.96","-1153.95"
"0.359949","-25.08","2494.26","-1163.00"
"0.392105","-10.14","2478.54","-1156.40"
"0.419048","6.64","2459.03","-1150.20"
"0.452454","9.26","2451.43","-1148.81"
"0.478338","-12.79","2454.01","-1158.35"
"0.520070","-7.95","2436.53","-1158.06"
"0.572916","12.73","2408.33","-1149.84"
"0.595384","11.60","2400.26","-1149.18"
"0.621965","8.99","2395.64","-1150.89"
"0.643405","10.70","2388.41","-1149.99"
"0.665482","13.82","2379.82","-1150.45"
"0.687360","6.86","2376.11","-1152.69"
"0.708816","-8.82","2375.54","-1158.19"
"0.739654","-6.15","2367.24","-1156.20"
"0.787175","-15.78","2359.72","-1160.03"
"0.809267","-14.36","2351.23","-1159.51"
"0.833340","3.34","2333.56","-1152.15"
"0.863545","6.89","2324.53","-1152.24"
"0.885681","4.66","2317.77","-1152.40"
"0.910170","5.58","2312.86","-1152.20"
"0.932459","-13.31","2313.38","-1159.17"
"0.963767","-16.01","2307.42","-1159.71"
"0.985975","-3.17","2295.49","-1154.29"
"1.007942","-1.16","2286.65","-1153.91"
"1.030268","-8.59","2282.97","-1156.70"
"1.052403","-11.33","2279.19","-1157.94"
"1.078629","-2.20","2266.57","-1155.05"
"1.100060","-4.61","2261.30","-1155.73"
"1.122895","-9.54","2258.02","-1157.09"
"1.146088","-4.09","2248.14","-1156.64"
"1.167626","7.28","2233.32","-1151.88"
"1.198350","14.19","2225.25","-1149.28"
"1.221779","14.76","2218.83","-1149.00"
"1.244340","20.48","2211.02","-1146.76"
"1.265944","13.27","2208.48","-1149.11"
"1.292637","12.98","2200.99","-1147.72"
"1.317726","10.23","2195.62","-1148.42"
"1.340326","-9.70","2194.46","-1156.25"
"1.367778","-7.09","2187.21","-1154.95"
"1.390177","-9.45","2181.46","-1155.81"
"1.412081","-2.60","2173.19","-1153.15"
"1.434464","0.15","2164.06","-1152.58"
"1.455750","16.74","2147.65","-1145.75"
"1.484699","9.74","2144.02","-1147.93"
"1.506347","6.74","2139.67","-1149.59"
"1.534297","5.17","2134.44","-1149.33"
