time_s,vx,vy,vz
0.000000,0.00,0.00,0.00
0.023117,-58.43,-226.63,-211.40
0.046102,-59.68,-479.75,-360.47
0.068303,-120.52,-542.48,-478.62
0.091115,-86.04,-582.87,-575.33
0.116472,-28.29,-598.87,-680.35
0.139597,-24.67,-606.27,-778.81
0.162181,-228.48,-511.70,-935.81
0.187800,-289.86,-483.48,-1082.53
0.208272,-312.30,-475.82,-1178.93
0.234238,-301.18,-477.63,-1314.12
0.255805,-278.98,-490.70,-1405.00
0.277265,-246.05,-512.39,-1494.05
0.297870,-215.29,-535.25,-1574.83
0.318743,-177.49,-562.19,-1656.20
0.348624,-154.14,-568.40,-1802.46
0.372405,-20.72,-648.70,-1864.70
0.401410,59.13,-687.06,-1967.00
0.422854,112.83,-712.62,-2005.36
0.444373,140.35,-723.76,-2051.95
0.465466,152.89,-728.86,-2096.37
0.486642,186.32,-744.72,-2137.97
0.513479,179.44,-735.96,-2220.18
0.534623,168.10,-722.43,-2248.55
0.557975,55.92,-679.81,-2307.08
0.591063,-20.75,-630.62,-2417.79
0.616552,-78.59,-592.88,-2446.69
0.641447,-108.33,-565.46,-2464.98
0.665229,-38.89,-603.04,-2459.01
0.692798,41.96,-632.81,-2473.18
0.714965,-28.13,-618.88,-2461.95
0.751344,-70.91,-587.54,-2538.89
0.774387,3.48,-623.83,-2487.08
0.802720,87.27,-647.75,-2474.22
0.826068,108.21,-647.06,-2433.10
0.849198,118.95,-643.40,-2401.60
0.872435,128.03,-640.72,-2375.81
0.893793,41.06,-620.38,-2358.74
0.924225,-54.85,-584.76,-2407.79
0.947830,-102.20,-565.34,-2394.08
0.971213,-134.98,-552.50,-2383.27
0.993932,-141.54,-545.46,-2370.39
1.016437,-131.34,-542.21,-2359.98
1.039471,-119.40,-541.78,-2356.44
1.063748,-29.56,-578.79,-2351.38
1.091172,47.10,-600.09,-2363.04
1.116875,71.81,-603.35,-2359.99
1.140018,92.46,-603.82,-2339.78
1.167343,91.20,-593.64,-2352.92
1.188634,12.42,-580.60,-2333.77
1.210638,-26.89,-573.59,-2325.18
1.233682,-55.93,-566.00,-2327.76
1.260563,-81.75,-550.26,-2356.76
1.283313,-7.59,-573.77,-2336.60
1.314841,60.15,-579.67,-2374.36
1.337247,96.44,-582.19,-2338.88
1.359084,42.08,-577.69,-2320.26
1.387205,-1.44,-563.73,-2348.15
1.408045,-35.75,-552.14,-2321.19
1.433858,-65.92,-538.18,-2337.78
1.455158,-62.37,-532.96,-2317.07
1.475578,-69.00,-527.43,-2300.38
1.498871,-76.15,-524.67,-2310.33
1.519452,-77.55,-521.93,-2301.14
1.557421,-77.03,-499.51,-2405.62
1.578456,-64.22,-515.34,-2361.59
1.611445,-44.84,-512.29,-2402.18
1.632878,-39.29,-510.87,-2353.29
1.659470,-30.35,-503.51,-2350.57
1.680779,-25.19,-498.28,-2314.81
