time_s,raw_x,raw_y,raw_z
0.000000,4.90,2507.39,-362.52
0.025483,107.77,2339.95,-403.19
0.049738,86.99,2235.73,-449.75
0.075707,94.63,2120.54,-497.73
0.099072,367.12,1869.12,-552.01
0.122441,355.81,1785.03,-601.51
0.145293,90.92,1693.84,-738.22
0.177551,128.65,1591.14,-796.00
0.200004,103.96,1491.63,-876.41
0.224144,106.25,1392.32,-955.59
0.273394,327.92,1195.40,-1052.41
0.324326,133.75,989.58,-969.66
0.353326,124.75,916.44,-911.60
0.376861,123.71,848.51,-857.48
0.401417,126.59,785.74,-809.25
0.423986,129.02,722.11,-772.31
0.448497,133.49,660.11,-731.09
0.471968,112.09,584.92,-706.76
0.495405,297.45,596.72,-643.09
0.522219,273.20,530.59,-633.70
0.545148,109.68,344.49,-647.21
0.576009,94.98,277.11,-648.48
