time_s,kf_x,kf_y,kf_z
0.000000,179.57,2389.06,-574.55
0.029808,175.66,2320.49,-603.17
0.053201,-45.24,2332.99,-699.81
0.084485,-108.74,2264.70,-806.66
0.107874,-113.94,2186.88,-893.04
0.130477,-120.76,2112.09,-978.49
0.152340,-117.08,2032.90,-1063.92
0.177711,-11.96,1904.93,-1139.12
0.203923,47.80,1805.85,-1179.30
0.225662,87.54,1736.63,-1174.56
0.251639,139.39,1695.82,-930.08
0.275178,136.08,1655.99,-907.11
0.296914,145.80,1613.05,-860.26
0.319559,150.82,1566.85,-806.69
0.342509,61.38,1513.03,-760.47
0.372360,6.18,1455.55,-717.49
0.395768,-15.88,1409.52,-687.83
0.421144,-20.67,1361.99,-661.62
0.443928,-20.22,1319.08,-643.10
0.466706,31.78,1270.04,-623.92
0.495920,70.14,1215.88,-611.66
0.525092,49.41,1152.16,-613.05
0.555309,34.91,1093.25,-622.20
0.579878,73.86,1049.10,-634.06
0.610777,102.36,1000.14,-656.52
0.635282,82.55,944.80,-687.66
0.662346,73.05,892.31,-726.12
0.685969,99.79,852.80,-764.41
0.716403,115.23,803.42,-821.57
0.739466,127.55,769.86,-867.86
0.784955,143.17,701.21,-974.55
0.808053,152.07,671.56,-1033.51
0.829815,153.40,640.59,-1094.26
0.889729,121.70,541.90,-1235.16
0.915896,127.46,515.69,-1235.93
0.943331,154.70,520.29,-914.64
