time_s,corr_x,corr_y,corr_z
0.000000,-29.86,2518.38,-101.68
0.034769,-70.64,2435.31,-121.18
0.056715,199.14,2155.75,-208.40
0.083364,194.37,2076.16,-236.99
0.106264,-84.11,2049.67,-257.89
0.137555,-62.44,1949.06,-305.30
0.161434,-49.22,1854.40,-352.64
0.184090,214.09,1671.61,-438.35
0.209851,214.40,1595.39,-488.78
0.231522,216.06,1517.33,-545.26
0.258725,215.93,1442.85,-602.64
0.281227,206.94,1364.14,-669.81
0.305822,231.92,1296.45,-725.47
0.352382,21.78,1069.96,-968.46
0.450113,64.59,793.94,-1086.71
0.473659,75.83,743.64,-1010.50
0.498202,69.08,685.08,-946.79
0.522962,249.29,687.91,-818.17
0.545660,236.29,635.77,-779.70
0.568078,247.00,591.72,-736.61
0.590529,251.27,549.60,-701.48
0.613531,243.56,494.44,-673.31
0.637350,83.85,324.11,-658.32
