throw_id,frame_idx,timestamp_s,dt_ms,cam_x,cam_y,cam_z,rob_x,rob_y,rob_z,accepted,reject_reason,disparity,reproj_err,kf_pos_x,kf_pos_y,kf_pos_z,vel_x,vel_y,vel_z,kf_ready,kf_updates,buf_size,pred_x,pred_y,pred_z,pred_t_ms,pred_vx,pred_vy,pred_vz,confidence,spread_mm,hit_ratio,clamped,clamp_dist,bounces
6,0,801287.156757,,100.67,5.76,168.41,196.2,2311.7,-824.0,True,,233.3,7.2,196.2,2311.7,-824.0,,,,False,1,1,,,,,,,,,,,,,0
6,1,801287.186056,,,,,,,,,epipolar(dy=18px),228.6,,196.2,2311.7,-824.0,,,,False,1,1,,,,,,,,,,,,,0
6,2,801287.209698,52.94,75.81,21.33,167.07,215.8,2062.3,-977.7,True,,232.4,7.3,215.8,2062.3,-977.7,,,,False,2,2,,,,,,,,,,,,,0
6,3,801287.235973,,,,,,,,,epipolar(dy=19px),227.8,,215.8,2062.3,-977.7,,,,False,2,2,,,,,,,,,,,,,0
6,4,801287.260972,,43.52,35.35,141.88,457.3,1715.0,-1069.5,False,jump(433mm),270.6,2.2,215.8,2062.3,-977.7,,,,False,2,2,,,,,,,,,,,,,0
6,5,801287.290294,,,,,,,,,,,,215.8,2062.3,-977.7,,,,False,2,2,,,,,,,,,,,,,0
6,6,801287.313638,,25.96,25.78,157.06,272.7,1556.1,-1008.9,False,jump(510mm),241.4,5.8,215.8,2062.3,-977.7,,,,False,2,2,,,,,,,,,,,,,0
6,7,801287.345934,136.24,18.52,20.36,154.22,282.0,1479.5,-951.3,True,,244.8,5.7,282.0,1479.5,-951.3,,,,False,1,1,,,,,,,,,,,,,0
6,8,801287.370032,24.1,9.42,11.26,134.07,451.0,1369.0,-823.1,True,,280.3,4.6,451.0,1369.0,-823.1,,,,False,2,2,,,,,,,,,,,,,0
6,9,801287.398191,28.16,2.81,7.71,132.75,450.1,1302.1,-786.8,True,,281.9,4.5,486.6,1290.7,-740.6,,,,False,3,3,,,,,,,,,,,,,0
6,10,801287.422904,24.71,-3.41,4.76,130.47,460.3,1238.0,-754.2,True,,285.7,2.8,546.2,1212.0,-679.3,,,,False,4,4,,,,,,,,,,,,,0
