frame,time_s,rob_x,rob_y,rob_z,cam_x,cam_y,cam_z,disparity,reproj_err
326,7.6628,21.0,1504.2,-1073.0,19.47,31.14,183.67,204.9,0.55
327,7.6856,24.6,1497.4,-1073.7,18.84,31.31,183.26,205.3,0.37
331,7.786,6.9,1469.1,-1084.3,15.81,31.93,184.91,203.2,0.02
333,7.8317,8.4,1459.0,-1082.5,14.83,31.81,184.62,203.4,0.23
335,7.8754,8.3,1447.9,-1082.2,13.73,31.79,184.49,203.5,0.56
336,7.8966,17.6,1442.9,-1078.7,13.33,31.69,183.46,204.6,0.19
337,7.921,12.3,1437.1,-1081.0,12.7,31.78,183.96,204.0,0.32
338,7.9433,24.8,1431.9,-1075.9,12.33,31.61,182.57,205.5,0.28
339,7.9681,21.0,1427.1,-1076.3,11.81,31.56,182.89,205.1,0.21
340,7.9921,21.6,1421.8,-1076.3,11.3,31.58,182.77,205.2,0.2
341,8.0138,13.7,1414.8,-1078.9,10.5,31.65,183.52,204.2,0.71
342,8.0379,11.1,1409.2,-1078.9,9.92,31.59,183.71,204.0,0.9
343,8.0608,11.7,1404.3,-1078.8,9.44,31.6,183.59,204.1,0.89
344,8.0843,9.7,1399.3,-1079.5,8.91,31.62,183.74,203.8,0.71
345,8.1062,12.7,1394.2,-1078.5,8.44,31.61,183.37,204.2,0.95
346,8.1299,10.0,1388.8,-1081.0,7.88,31.79,183.64,203.9,0.58
347,8.1611,-0.5,1382.5,-1085.3,7.13,31.95,184.68,202.6,0.16
348,8.1862,12.0,1374.5,-1079.1,6.48,31.68,183.23,204.2,0.31
349,8.2121,8.9,1368.2,-1080.1,5.82,31.71,183.49,203.8,0.21
350,8.2335,9.2,1363.1,-1080.3,5.31,31.73,183.41,203.9,0.01
351,8.2571,8.2,1357.7,-1080.7,4.76,31.76,183.45,203.8,0.09
352,8.2787,5.3,1351.6,-1082.8,4.13,31.89,183.72,203.4,0.2
353,8.3018,0.2,1346.0,-1084.9,3.51,31.98,184.19,202.8,0.13
354,8.3259,4.7,1340.4,-1083.1,3.0,31.92,183.65,203.4,0.05
355,8.3527,3.7,1334.7,-1082.8,2.43,31.87,183.68,203.3,0.1
356,8.3765,1.5,1329.3,-1084.0,1.86,31.94,183.86,203.0,0.38
357,8.3995,4.2,1323.9,-1081.3,1.36,31.76,183.47,203.4,0.01
358,8.4267,17.9,1315.1,-1075.8,0.65,31.58,181.92,205.1,0.36
359,8.4497,21.2,1310.7,-1074.2,0.25,31.51,181.51,205.5,0.5
360,8.4748,4.7,1302.2,-1081.9,-0.79,31.85,183.19,203.5,0.43
361,8.4979,4.0,1297.7,-1081.4,-1.25,31.8,183.2,203.5,0.65
362,8.5225,7.1,1292.2,-1080.3,-1.75,31.77,182.81,203.8,0.52
363,8.5484,3.0,1286.8,-1081.9,-2.34,31.84,183.19,203.4,0.49
364,8.5722,2.9,1282.6,-1080.4,-2.75,31.69,183.11,203.4,0.06
365,8.5966,5.3,1277.4,-1079.2,-3.24,31.64,182.8,203.7,0.38
366,8.6222,2.5,1271.8,-1080.9,-3.83,31.74,183.05,203.4,0.33
367,8.6489,16.0,1265.6,-1075.0,-4.29,31.52,181.53,205.0,0.42
368,8.6726,3.1,1256.5,-1081.1,-5.35,31.8,182.82,203.5,0.24
369,8.6987,4.7,1252.1,-1082.8,-5.77,32.01,182.66,203.6,0.05
370,8.7218,7.3,1246.8,-1082.9,-6.27,32.08,182.35,203.9,0.31
371,8.7473,8.2,1242.5,-1080.4,-6.68,31.87,182.16,204.1,0.64
372,8.7735,8.0,1236.8,-1079.8,-7.25,31.81,182.1,204.1,0.05
373,8.7983,6.5,1231.2,-1081.6,-7.83,31.96,182.22,203.9,0.06
374,8.8262,20.2,1224.6,-1076.3,-8.32,31.8,180.7,205.6,0.72
375,8.8492,20.1,1221.0,-1075.9,-8.68,31.76,180.66,205.6,0.82
376,8.8757,0.4,1210.5,-1083.8,-9.95,32.05,182.63,203.3,0.86
377,8.8999,3.0,1205.9,-1083.1,-10.38,32.05,182.31,203.6,0.58
378,8.9253,3.9,1199.4,-1082.0,-11.02,31.98,182.13,203.7,0.7
379,8.9478,-2.8,1193.7,-1085.4,-11.66,32.14,182.79,202.9,0.59
380,8.9721,-5.0,1188.6,-1085.9,-12.19,32.15,182.95,202.7,0.45
381,8.9951,-2.6,1183.8,-1083.5,-12.64,31.97,182.61,203.0,0.55
382,9.0167,-3.9,1178.8,-1084.6,-13.15,32.06,182.71,202.9,0.36
383,9.0389,0.4,1175.5,-1082.1,-13.43,31.93,182.2,203.4,0.01
384,9.0618,-3.3,1169.4,-1083.3,-14.08,31.96,182.51,203.0,0.17
385,9.0842,1.7,1165.7,-1080.7,-14.38,31.84,181.93,203.6,0.04
386,9.1105,7.6,1161.7,-1079.1,-14.71,31.84,181.28,204.3,0.58
387,9.1361,-5.9,1155.6,-1084.4,-15.48,32.02,182.64,202.7,0.08
388,9.1658,19.7,1151.3,-1073.1,-15.6,31.57,179.84,205.8,0.26
389,9.1936,7.0,1143.2,-1079.4,-16.56,31.87,181.14,204.3,0.55
390,9.217,-0.0,1137.3,-1083.8,-17.23,32.13,181.85,203.4,0.17
391,9.2412,3.4,1133.3,-1081.7,-17.59,32.02,181.43,203.9,0.38
392,9.2632,-3.8,1126.1,-1084.8,-18.38,32.15,182.12,203.0,0.48
393,9.2852,-1.7,1122.2,-1084.0,-18.76,32.13,181.85,203.3,0.46
394,9.3086,-1.0,1118.0,-1083.1,-19.16,32.06,181.71,203.4,0.36
395,9.3383,8.1,1111.1,-1078.0,-19.74,31.81,180.63,204.6,0.09
396,9.3608,2.0,1102.7,-1079.7,-20.65,31.83,181.17,203.9,0.34
397,9.385,-2.1,1096.6,-1081.2,-21.29,31.88,181.53,203.4,0.49
398,9.4093,-5.9,1091.0,-1082.9,-21.9,31.96,181.87,203.0,0.06
399,9.4324,-1.2,1087.4,-1081.0,-22.2,31.9,181.33,203.5,0.36
400,9.4561,-1.0,1081.9,-1083.1,-22.74,32.11,181.31,203.5,1.13
401,9.48,-3.1,1077.1,-1081.6,-23.25,31.92,181.42,203.3,0.39
402,9.5041,2.2,1073.6,-1081.2,-23.53,32.02,180.86,203.9,0.85
403,9.5286,2.3,1068.6,-1078.8,-24.03,31.79,180.73,204.0,0.15
404,9.5516,2.4,1065.3,-1078.5,-24.35,31.77,180.68,204.1,0.09
405,9.5758,-3.8,1059.0,-1081.4,-25.05,31.91,181.28,203.3,0.14
406,9.5985,-1.5,1055.7,-1080.9,-25.35,31.92,181.01,203.6,0.45
407,9.6269,12.2,1051.6,-1075.4,-25.6,31.73,179.51,205.2,0.55
408,9.6509,16.4,1047.5,-1075.7,-25.95,31.87,179.06,205.7,1.02
409,9.6749,0.9,1038.7,-1082.1,-27.01,32.12,180.62,203.9,1.14
410,9.698,-0.9,1033.5,-1082.5,-27.55,32.12,180.74,203.7,0.91
411,9.7217,-1.7,1027.5,-1083.1,-28.16,32.17,180.76,203.6,0.95
412,9.7454,3.9,1024.8,-1081.6,-28.36,32.16,180.16,204.2,0.75
413,9.7682,1.6,1019.8,-1082.6,-28.89,32.2,180.35,204.0,0.63
414,9.7917,3.9,1015.0,-1082.3,-29.34,32.23,180.07,204.3,0.41
415,9.8155,6.4,1011.2,-1081.2,-29.69,32.2,179.75,204.6,0.33
416,9.8385,2.9,1006.5,-1084.1,-30.2,32.4,180.12,204.1,0.7
417,9.8616,1.9,1001.7,-1083.9,-30.68,32.36,180.15,204.0,0.45
418,9.884,-3.4,996.4,-1084.5,-31.28,32.3,180.62,203.4,0.24
419,9.9086,-3.4,990.2,-1086.7,-31.89,32.51,180.6,203.4,0.4
420,9.932,0.3,987.7,-1084.2,-32.09,32.36,180.15,203.9,0.4
421,9.9626,13.9,983.0,-1078.5,-32.4,32.16,178.66,205.5,0.59
422,9.988,1.9,974.0,-1081.4,-33.43,32.16,179.77,204.2,0.45
423,10.0143,-3.4,969.1,-1082.9,-33.98,32.18,180.27,203.6,0.14
424,10.039,-0.7,965.0,-1081.6,-34.36,32.12,179.93,203.9,0.48
425,10.0624,-2.1,959.0,-1084.5,-34.97,32.37,180.07,203.7,0.89
426,10.0857,-3.3,955.4,-1081.6,-35.34,32.06,180.08,203.7,0.61
427,10.1098,8.9,953.5,-1078.1,-35.39,32.04,178.79,205.1,1.42
428,10.1386,6.1,947.6,-1077.6,-36.01,31.92,178.98,204.8,0.51
429,10.1616,-5.1,939.8,-1084.4,-36.91,32.31,180.14,203.4,1.12
430,10.1858,-1.6,936.5,-1083.1,-37.19,32.28,179.73,203.9,1.25
431,10.2093,1.6,932.7,-1078.6,-37.54,31.93,179.28,204.3,0.37
432,10.2335,0.4,928.4,-1079.3,-37.98,31.97,179.35,204.2,0.11
433,10.2584,-3.9,923.6,-1082.8,-38.51,32.21,179.81,203.7,0.5
434,10.2808,0.4,921.2,-1081.4,-38.7,32.18,179.33,204.2,0.53
435,10.3038,3.0,917.6,-1081.2,-39.03,32.24,179.04,204.5,0.9
436,10.3285,5.4,913.5,-1077.9,-39.4,31.98,178.68,204.8,0.04
437,10.3526,2.9,908.0,-1079.6,-39.98,32.09,178.9,204.5,0.08
438,10.3751,4.0,904.9,-1081.6,-40.28,32.31,178.81,204.6,0.6
439,10.3964,-9.8,896.0,-1087.1,-41.33,32.52,180.17,203.0,0.59
440,10.4257,7.3,894.4,-1078.6,-41.27,32.12,178.3,205.1,0.4
441,10.4492,6.8,889.6,-1078.8,-41.76,32.13,178.3,205.0,0.15
442,10.4746,-13.2,876.8,-1089.9,-43.27,32.73,180.35,202.6,0.7
443,10.4999,-8.5,874.9,-1084.6,-43.4,32.33,179.75,203.3,0.17
444,10.5252,-4.5,870.9,-1082.4,-43.75,32.22,179.26,203.8,0.13
445,10.5494,-6.8,865.8,-1085.3,-44.29,32.45,179.5,203.4,0.52
446,10.5739,-10.5,861.9,-1084.6,-44.71,32.3,179.79,203.1,0.04
447,10.5979,-7.1,858.3,-1082.0,-45.03,32.13,179.36,203.5,0.17
448,10.6217,-7.5,853.7,-1081.9,-45.49,32.12,179.34,203.5,0.27
449,10.65,6.2,851.7,-1075.8,-45.52,31.87,177.86,205.2,0.43
450,10.6721,7.7,849.0,-1075.1,-45.77,31.84,177.66,205.4,0.45
451,10.6993,8.8,845.4,-1074.4,-46.12,31.82,177.5,205.5,0.59
452,10.7229,-7.7,833.8,-1081.5,-47.47,32.1,179.13,203.5,0.22
453,10.7469,-6.2,831.0,-1081.0,-47.73,32.1,178.94,203.7,0.24
454,10.7707,-4.4,827.7,-1080.7,-48.04,32.12,178.72,203.9,0.43
455,10.7934,-1.3,826.2,-1080.3,-48.16,32.16,178.41,204.3,0.04
456,10.8176,-8.6,819.6,-1082.5,-48.9,32.19,179.08,203.5,0.01
457,10.8427,-7.6,815.7,-1082.2,-49.27,32.2,178.94,203.6,0.12
458,10.8665,-3.5,813.6,-1080.5,-49.43,32.14,178.48,204.1,0.4
459,10.8967,-20.2,801.2,-1088.9,-50.86,32.55,180.15,202.1,0.81
460,10.921,-3.9,802.9,-1080.2,-50.49,32.11,178.39,204.1,0.13
461,10.9471,-6.1,798.0,-1083.4,-51.01,32.37,178.62,203.8,1.09
462,10.975,-13.9,791.1,-1086.9,-51.79,32.53,179.39,202.9,0.61
463,10.9989,-7.6,789.8,-1082.6,-51.85,32.26,178.66,203.7,0.44
464,11.0241,-3.6,785.4,-1080.2,-52.23,32.14,178.16,204.2,0.3
465,11.0528,-1.0,781.0,-1079.4,-52.64,32.13,177.84,204.5,0.25
466,11.0766,-3.9,774.2,-1079.8,-53.35,32.11,178.05,204.2,0.44
467,11.1074,-7.7,768.0,-1081.2,-54.0,32.16,178.38,203.8,0.59
468,11.132,-10.8,762.3,-1083.2,-54.62,32.28,178.67,203.4,0.52
469,11.1585,-10.2,758.6,-1083.1,-54.98,32.29,178.57,203.5,0.56
470,11.1858,-17.4,751.3,-1085.1,-55.78,32.31,179.23,202.6,0.38
471,11.2108,-12.1,746.3,-1083.1,-56.22,32.26,178.62,203.3,0.45
472,11.2365,-15.8,740.0,-1085.6,-56.89,32.42,178.97,202.8,0.29
473,11.2639,-5.8,741.9,-1080.6,-56.57,32.17,177.9,204.0,0.41
474,11.2931,-10.3,736.3,-1082.9,-57.19,32.3,178.32,203.5,0.28
475,11.3216,-11.4,732.5,-1082.7,-57.58,32.26,178.39,203.4,0.38
476,11.3468,-13.2,723.4,-1084.3,-58.51,32.37,178.49,203.2,0.04
477,11.3711,-4.1,724.8,-1080.5,-58.26,32.24,177.54,204.3,0.07
478,11.396,-8.5,720.2,-1082.5,-58.77,32.32,177.96,203.8,0.16
479,11.4251,-8.1,717.9,-1082.2,-58.99,32.31,177.89,203.8,0.06
480,11.4548,-7.5,711.9,-1082.0,-59.58,32.32,177.76,203.9,0.11
481,11.4824,-14.1,705.3,-1085.2,-60.31,32.47,178.4,203.1,0.06
482,11.5138,-4.1,705.7,-1079.5,-60.15,32.16,177.31,204.4,0.31
483,11.5428,-7.6,701.0,-1080.7,-60.67,32.2,177.61,204.0,0.23
484,11.5682,-10.5,691.5,-1081.4,-61.64,32.21,177.8,203.7,0.09
485,11.5925,-7.0,689.7,-1080.3,-61.78,32.19,177.42,204.1,0.18
486,11.6254,-10.0,685.3,-1081.3,-62.25,32.21,177.68,203.7,0.08
487,11.6474,-5.5,682.5,-1080.3,-62.48,32.23,177.19,204.3,0.17
488,11.6748,2.5,679.8,-1077.2,-62.65,32.14,176.31,205.2,0.27
489,11.6978,-7.6,670.2,-1082.2,-63.73,32.38,177.31,204.0,0.17
490,11.7217,-5.5,666.0,-1081.6,-64.12,32.38,177.05,204.3,0.2
491,11.7449,-4.6,662.0,-1081.9,-64.5,32.44,176.92,204.4,0.04
492,11.7683,-7.9,657.5,-1083.3,-65.0,32.49,177.22,204.0,0.19
493,11.7922,-10.8,651.3,-1085.5,-65.64,32.64,177.49,203.6,0.13
494,11.8151,-10.6,648.8,-1084.5,-65.89,32.56,177.41,203.7,0.16
495,11.8375,-14.4,643.1,-1086.1,-66.5,32.62,177.75,203.3,0.04
496,11.861,-17.4,638.3,-1087.5,-67.01,32.69,178.02,202.9,0.0
497,11.8848,-6.6,639.1,-1082.3,-66.81,32.46,176.86,204.2,0.18
498,11.9089,-9.7,634.2,-1083.7,-67.32,32.52,177.15,203.9,0.21
499,11.9317,-6.9,631.6,-1082.6,-67.56,32.49,176.82,204.2,0.08
500,11.9653,5.0,631.8,-1076.9,-67.4,32.23,175.53,205.7,0.12
501,11.9892,-8.8,619.2,-1081.5,-68.8,32.35,176.83,204.1,0.18
513,12.2745,-12.8,576.2,-1083.0,-73.12,32.44,176.78,203.7,0.15
514,12.2985,-9.3,573.3,-1082.0,-73.37,32.44,176.38,204.1,0.14
515,12.324,-13.1,568.9,-1083.6,-73.85,32.51,176.73,203.7,0.01
516,12.349,-26.5,557.7,-1089.0,-75.12,32.71,178.03,202.1,0.31
517,12.3749,-18.5,557.9,-1085.1,-75.01,32.54,177.17,203.1,0.36
518,12.3995,-9.3,558.9,-1080.2,-74.8,32.29,176.17,204.2,0.48
519,12.4268,7.3,562.9,-1073.2,-74.21,32.02,174.44,206.2,0.25
520,12.451,8.8,558.3,-1073.0,-74.64,32.04,174.25,206.4,0.3
521,12.475,-15.0,540.1,-1083.6,-76.74,32.5,176.6,203.6,0.33
522,12.499,-1.8,543.0,-1078.1,-76.29,32.29,175.22,205.1,0.08
523,12.5234,0.2,540.6,-1077.1,-76.5,32.25,174.98,205.4,0.03
524,12.5473,-4.1,534.7,-1077.9,-77.14,32.23,175.34,204.9,0.21
525,12.5729,-6.4,529.4,-1079.3,-77.7,32.31,175.54,204.6,0.3
526,12.5967,-9.6,525.0,-1080.0,-78.17,32.3,175.82,204.3,0.21
527,12.6188,-11.7,520.3,-1081.6,-78.66,32.41,176.0,204.0,0.27
528,12.6499,0.3,520.6,-1076.1,-78.49,32.17,174.72,205.5,0.24
529,12.6723,-12.5,508.1,-1081.9,-79.88,32.43,175.95,204.0,0.22
530,12.6986,-12.7,505.9,-1082.3,-80.11,32.47,175.96,203.9,0.26
531,12.7242,-9.9,503.8,-1080.8,-80.28,32.4,175.63,204.3,0.09
532,12.7479,-13.5,497.9,-1082.5,-80.91,32.48,175.96,203.9,0.23
533,12.7717,-12.3,495.8,-1081.1,-81.1,32.38,175.78,204.0,0.08
534,12.7946,-14.8,491.4,-1081.5,-81.57,32.36,175.98,203.8,0.23
535,12.8251,-7.4,489.2,-1079.0,-81.71,32.31,175.18,204.7,0.33
536,12.8474,0.9,491.0,-1075.6,-81.43,32.18,174.32,205.7,0.41
537,12.874,-0.1,486.1,-1076.8,-81.92,32.28,174.38,205.5,0.31
538,12.8964,-7.6,477.7,-1080.1,-82.85,32.43,175.1,204.6,0.33
539,12.9185,-7.6,475.2,-1078.7,-83.1,32.29,175.04,204.7,0.07
540,12.9423,-8.8,472.9,-1079.3,-83.34,32.32,175.14,204.5,0.16
541,12.9668,-13.4,466.8,-1082.2,-84.0,32.49,175.59,204.0,0.0
542,12.989,-16.3,460.2,-1085.4,-84.69,32.74,175.87,203.6,0.05
543,13.0121,-17.5,456.5,-1084.9,-85.07,32.66,175.93,203.5,0.21
544,13.0338,-16.3,453.4,-1084.0,-85.37,32.61,175.76,203.7,0.22
545,13.0565,-16.7,450.6,-1083.5,-85.65,32.56,175.76,203.6,0.25
546,13.0784,-16.7,447.2,-1083.2,-85.99,32.53,175.71,203.7,0.31
547,13.1007,-16.3,444.6,-1082.2,-86.24,32.45,175.61,203.7,0.48
548,13.1259,-23.8,436.0,-1085.9,-87.18,32.63,176.33,202.9,0.37
549,13.1486,-16.9,434.0,-1082.6,-87.3,32.49,175.57,203.7,0.42
550,13.1726,-21.9,428.6,-1084.0,-87.89,32.51,176.02,203.1,0.32
551,13.1983,-15.3,428.1,-1079.9,-87.86,32.27,175.27,204.0,0.14
552,13.222,-17.1,424.3,-1081.0,-88.26,32.34,175.44,203.7,0.02
553,13.2448,-14.4,421.2,-1080.5,-88.54,32.36,175.12,204.1,0.07
554,13.2737,-12.6,418.2,-1079.9,-88.82,32.36,174.91,204.3,0.16
555,13.2972,-15.9,410.4,-1081.0,-89.63,32.39,175.16,203.9,0.23
557,13.3431,-16.7,401.8,-1081.8,-90.5,32.46,175.16,203.8,0.43
