sample_id,captured_at,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,dt12,dt23,dt34,x_hit,y_hit,z_hit,vx_hit,vy_hit,vz_hit,t_hit,is_reachable,intercept_valid,bounces_before_hit,reject_reasons
7,2026-04-03T01:08:38.781,477.0325191,590.4775361,-973.4354392,485.1226121,570.0416021,-947.1707544,489.8619903,538.8220405,-925.3456106,494.5352694,504.8299639,-905.7791912,0.0160093,0.0173614,0.014797,566.1532928,113.8547996,-914.7559507,296.9168658,-1611.052262,-1164.21902,0.2367954,1,1,0,launch_box_mismatch
10,2026-04-03T01:08:50.962,436.5046066,2686.934544,-984.2015115,422.6199452,2617.713316,-1027.337716,287.3096801,2308.828719,-975.283048,279.6844693,2255.623179,-946.8095556,0.016416,0.0644849,0.0152539,-49.72436661,-82.57089595,-1010.834782,-237.2740473,-1678.999131,1283.424131,0.9225034,1,1,2,large_dt
19,2026-04-03T01:09:34.258,131.6823833,584.3729978,-949.1837136,129.0236137,549.6769226,-927.120692,127.6896686,516.8985389,-908.9515332,128.2395528,430.9178668,-860.505309,0.0141486,0.0163959,0.0480002,131.9664545,42.85425227,-946.2470131,1.444148498,-1701.95784,-1423.106003,0.2221477,1,1,0,launch_box_mismatch;large_dt
22,2026-04-03T01:09:40.627,524.4427627,695.9689846,-884.4821971,518.3474003,657.8858701,-881.9780006,522.6417324,638.9763038,-879.7445426,519.9807132,607.3965932,-880.2184212,0.0185106,0.0139911,0.0131641,511.1451728,-10.46045434,-926.5251006,-24.27296293,-1389.816228,103.2420715,0.3898855,1,1,1,launch_box_mismatch
23,2026-04-03T01:09:45.653,-196.0636614,2482.260775,-440.5085538,-204.4184351,2394.530788,-439.5921583,-211.9234633,2310.514374,-439.8357322,-210.3231041,2226.421753,-444.8693632,0.0147698,0.0150866,0.0166667,-362.1217952,84.97702339,-803.992032,-217.7747703,-3136.781648,1464.774086,0.4949873,1,1,1,launch_box_mismatch
28,2026-04-03T01:10:00.095,496.1005029,506.4930918,-790.7296214,508.1772328,470.7851043,-802.8883249,517.1838016,436.673225,-816.5651075,529.5227392,411.6727441,-830.7429441,0.016995,0.0158342,0.0156012,597.3492299,170.5218022,-1016.143283,583.2321502,-1909.044068,-2089.576473,0.1197032,1,1,0,launch_box_mismatch
41,2026-04-03T01:10:40.949,741.5499307,986.2578574,-1546.106581,745.2445687,992.1580097,-1540.411118,749.9577873,999.280115,-1536.222841,755.7740157,1010.167735,-1531.4421,0.0170188,0.0144054,0.0176418,321.1721399,24.04549046,-951.8679708,312.678926,-2176.428663,1010.923265,0.9206417,1,1,1,launch_box_mismatch;non_approach_y;below_table_first4
49,2026-04-03T01:11:04.137,464.3218367,449.4571569,-766.0675206,462.1612141,416.2427708,-767.2052262,459.9216718,370.0253176,-771.307479,454.4401258,324.0959877,-778.5527853,0.0160793,0.0153881,0.0164997,435.3357621,3.136789964,-938.6717494,-150.986495,-2265.740594,-1774.604509,0.143103,1,1,0,launch_box_mismatch
64,2026-04-03T01:12:02.503,311.9763129,2559.931458,-402.9504359,308.6027792,2469.997062,-386.8863947,302.690991,2377.782524,-375.3056473,298.6100351,2290.225295,-365.9216718,0.0164547,0.0166615,0.0136698,149.9781899,-64.88251881,-953.3934637,-200.648321,-3211.269798,2563.186864,0.5121455,1,1,1,launch_box_mismatch
66,2026-04-03T01:12:14.551,347.5747037,2590.020095,-408.7327373,334.4250773,2515.338622,-380.2837182,318.8754657,2439.98029,-354.3799597,308.5568461,2369.143028,-332.7027855,0.0162895,0.0161548,0.0131238,-100.2086312,26.53859161,-884.3907456,-447.8100364,-2545.955385,2526.250429,0.6361798,1,1,1,launch_box_mismatch
87,2026-04-03T01:13:56.795,232.5331372,625.8906922,-932.6352557,233.3823596,604.9185104,-909.9107471,224.5012786,538.1229948,-878.8320758,222.3097973,511.939221,-867.1854826,0.0127997,0.0291779,0.0153441,192.1660638,77.96319229,-995.6113778,-127.5486135,-1654.415163,-1695.881401,0.2585732,1,1,0,launch_box_mismatch
