sample_id,captured_at,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,dt12,dt23,dt34,x_hit,y_hit,z_hit,vx_hit,vy_hit,vz_hit,t_hit,is_reachable,intercept_valid,bounces_before_hit
1,2026-04-03T01:07:54.683,-93.08566875,2546.231986,-918.1757212,-66.67521368,2465.409487,-950.6966253,-57.01999899,2379.771476,-990.9937699,-37.04892381,2298.452494,-1028.719839,0.013469,0.0154529,0.0164228,658.4314261,186.1457139,-892.4528857,728.8026704,-2081.964186,624.8259092,0.7217093,1,1,1
2,2026-04-03T01:07:59.531,253.2808322,2618.434667,-887.6962726,243.4566728,2530.710133,-922.6221075,236.0477038,2443.538764,-958.8325305,224.1011952,2355.467304,-998.3578646,0.016915,0.015292,0.0164027,-33.16946566,-23.12762682,-949.9639437,-276.6119234,-2516.869388,1325.659844,0.6633511,1,1,1
3,2026-04-03T01:08:07.345,138.2763728,2591.150386,-1007.428495,142.6968824,2513.57228,-1048.012126,151.2807161,2438.185878,-1089.154021,150.8889024,2362.336147,-1120.677932,0.0174499,0.0155848,0.015135,239.5929591,12.98793958,-923.1237881,85.36312179,-2191.648501,-780.1664563,0.7901069,1,1,1
4,2026-04-03T01:08:11.334,-4.816867974,2545.514276,-862.0615818,-0.465774982,2463.644181,-901.2548778,18.98517781,2387.256013,-935.9800061,28.36852741,2306.911682,-977.6558461,0.0176929,0.0145419,0.013336,405.0963049,74.76188621,-858.7172781,341.6939551,-2026.35157,331.5364633,0.7740982,1,1,1
5,2026-04-03T01:08:35.217,-185.5967594,2503.058353,-838.3940903,-198.8709456,2411.186734,-870.0972212,-186.0647849,2331.098144,-898.8349855,-181.4803773,2249.337933,-934.1698996,0.0169037,0.0162247,0.0154904,-170.3815344,1.371400606,-896.2070686,-10.08531518,-2120.661508,467.9598037,0.7370439,1,1,1
6,2026-04-03T01:08:38.348,121.3147768,2609.525691,-853.8644694,134.9738631,2534.225254,-888.8335967,146.5579177,2458.333845,-926.8578541,165.3162397,2386.841283,-962.7875796,0.0149891,0.0131412,0.0128629,553.2095332,85.17924877,-878.8208704,312.1313627,-1825.320398,-624.3894565,0.8871546,1,1,1
7,2026-04-03T01:08:38.781,477.0325191,590.4775361,-973.4354392,485.1226121,570.0416021,-947.1707544,489.8619903,538.8220405,-925.3456106,494.5352694,504.8299639,-905.7791912,0.0160093,0.0173614,0.014797,566.1532928,113.8547996,-914.7559507,296.9168658,-1611.052262,-1164.21902,0.2367954,1,1,0
8,2026-04-03T01:08:41.266,109.6722351,2553.425098,-810.5623593,116.6468006,2468.444382,-842.3587792,117.1008492,2380.751271,-878.5040248,125.7515386,2298.038788,-912.0648066,0.0153375,0.015521,0.0167235,258.4413176,-27.41610575,-955.5248182,126.734966,-2245.153038,1543.678005,0.6992875,1,1,1
9,2026-04-03T01:08:44.796,711.4715319,2674.058217,-724.0303318,698.8514315,2595.053439,-737.6465216,685.8537144,2517.917778,-752.6108453,673.1324362,2440.579618,-770.259006,0.0166574,0.0158199,0.0156918,318.0388699,49.07574388,-1016.521941,-397.0146289,-2670.559391,-1836.21346,0.6835085,1,1,1
10,2026-04-03T01:08:50.962,436.5046066,2686.934544,-984.2015115,422.6199452,2617.713316,-1027.337716,287.3096801,2308.828719,-975.283048,279.6844693,2255.623179,-946.8095556,0.016416,0.0644849,0.0152539,-49.72436661,-82.57089595,-1010.834782,-237.2740473,-1678.999131,1283.424131,0.9225034,1,1,2
11,2026-04-03T01:08:53.872,-3.847254713,2548.14612,-621.2296067,1.212045096,2472.481811,-635.6362741,7.308837592,2398.5723,-653.4165191,7.182730187,2320.377066,-673.792037,0.0137484,0.0143766,0.0163085,126.0810045,78.40555216,-1001.182446,134.4646996,-2592.650377,-1942.704342,0.6675283,1,1,1
12,2026-04-03T01:08:56.814,-179.9012208,2503.041979,-631.9583718,-172.962079,2421.726892,-648.2165571,-159.7323031,2344.363135,-666.8266922,-163.1775577,2262.175764,-687.6937664,0.0163499,0.0156247,0.01617,-87.56798613,2.55195349,-919.4175423,100.3668266,-2851.856675,-1559.411233,0.6123695,1,1,1
13,2026-04-03T01:08:59.780,617.0615053,2690.046086,-662.0618378,618.4193396,2609.701539,-654.1930463,613.9326329,2525.224814,-650.9461259,612.2916275,2445.48803,-648.4193827,0.0161937,0.014054,0.0149513,535.8674578,-34.66755942,-829.2198865,-89.42964574,-2942.383842,-545.6098653,0.6230192,1,1,1
14,2026-04-03T01:09:02.563,160.449871,2596.648975,-623.7021996,154.2959257,2513.032804,-617.1482381,148.7661736,2433.345568,-612.1167629,148.0414032,2354.730363,-610.0534515,0.0143477,0.0165221,0.0157165,12.33816817,85.84378642,-800.637224,-181.8493373,-3038.15966,387.7477132,0.5529896,1,1,1
15,2026-04-03T01:09:05.516,-116.4003495,2566.875662,-1065.349892,-110.8609401,2492.89978,-1110.802514,-105.3990229,2434.354364,-1103.707049,-98.67309497,2383.711453,-1061.872723,0.0161458,0.0156923,0.013661,124.2222592,-45.12867662,-984.587369,136.523379,-1547.989773,1134.086557,1.0107009,1,1,2
16,2026-04-03T01:09:13.982,172.3801261,2593.962811,-759.4247852,184.3923962,2519.561407,-786.8044724,187.3562107,2442.558072,-817.6862458,187.6999983,2363.318628,-851.1851876,0.0168139,0.0156227,0.0162818,301.1322826,21.77444621,-845.3608302,85.14759858,-1843.578952,336.9764214,0.8542976,1,1,1
17,2026-04-03T01:09:17.469,485.7775665,2673.447498,-786.015748,476.7832999,2602.005731,-799.3792032,469.2452854,2532.443351,-814.5791592,461.9695252,2463.207561,-831.4237794,0.0168594,0.0156561,0.0154603,199.2799299,45.29656109,-985.2235006,-181.7999359,-1696.340857,-1230.512575,0.9545737,1,1,1
18,2026-04-03T01:09:33.780,31.96901985,2613.713282,-869.3662435,44.48838524,2543.722139,-902.2142646,52.59359115,2472.10365,-938.6343997,55.75954141,2398.717518,-978.7243312,0.012983,0.0137077,0.0159888,152.4913257,15.16147628,-910.5152977,70.10325626,-1819.080866,-1033.623444,0.9336249,1,1,1
19,2026-04-03T01:09:34.258,131.6823833,584.3729978,-949.1837136,129.0236137,549.6769226,-927.120692,127.6896686,516.8985389,-908.9515332,128.2395528,430.9178668,-860.505309,0.0141486,0.0163959,0.0480002,131.9664545,42.85425227,-946.2470131,1.444148498,-1701.95784,-1423.106003,0.2221477,1,1,0
20,2026-04-03T01:09:36.532,-327.5663863,2524.684326,-828.214896,-323.4645971,2445.965716,-859.028117,-332.3043685,2363.215905,-893.9969179,-333.1411853,2287.386575,-924.4407909,0.01392,0.0149426,0.0165271,-366.782771,15.60087349,-870.7352571,-23.9579239,-2011.639666,533.8975315,0.7853701,1,1,1
21,2026-04-03T01:09:40.211,577.188462,2698.118912,-926.9757293,575.5089551,2628.525187,-964.7151278,575.0360046,2562.066132,-1002.788817,576.7345254,2496.109317,-1042.328863,0.0174829,0.012816,0.0144407,497.5752298,-29.30338331,-944.3327143,-47.23433326,-1478.277318,421.7937937,1.0965683,1,1,2
22,2026-04-03T01:09:40.627,524.4427627,695.9689846,-884.4821971,518.3474003,657.8858701,-881.9780006,522.6417324,638.9763038,-879.7445426,519.9807132,607.3965932,-880.2184212,0.0185106,0.0139911,0.0131641,511.1451728,-10.46045434,-926.5251006,-24.27296293,-1389.816228,103.2420715,0.3898855,1,1,1
23,2026-04-03T01:09:45.653,-196.0636614,2482.260775,-440.5085538,-204.4184351,2394.530788,-439.5921583,-211.9234633,2310.514374,-439.8357322,-210.3231041,2226.421753,-444.8693632,0.0147698,0.0150866,0.0166667,-362.1217952,84.97702339,-803.992032,-217.7747703,-3136.781648,1464.774086,0.4949873,1,1,1
24,2026-04-03T01:09:50.710,290.1752643,2599.878655,-457.0890205,282.6544062,2519.911916,-458.100746,279.2898832,2441.670259,-460.8866742,273.632769,2363.928002,-465.6583947,0.0174058,0.0155256,0.0160356,-18.86366523,-328.2271022,-802.0489209,-238.6525243,-2566.669771,-1164.516621,0.7362174,1,1,1
25,2026-04-03T01:09:53.332,679.1848329,2685.665782,-691.278366,652.0494869,2608.421701,-683.2948234,623.7271936,2530.998125,-678.124176,597.0301883,2455.072514,-675.9793257,0.0166076,0.01617,0.0156364,-278.0556354,86.69138337,-863.0659369,-1022.033907,-2766.937048,-802.3424427,0.6351166,1,1,1
26,2026-04-03T01:09:56.533,-244.7439142,2478.769928,-780.7075748,-223.9137378,2393.54675,-801.5971398,-190.0402886,2322.862429,-822.2744943,-185.9663302,2229.082608,-846.9384869,0.015991,0.0160382,0.0177326,430.103161,105.1082187,-949.2137682,592.1059363,-2093.715161,630.5622978,0.6807463,1,1,1
27,2026-04-03T01:09:59.669,-136.7672249,2540.839448,-619.9320205,-111.4315581,2464.584779,-631.4753859,-78.72853942,2394.943382,-643.1554924,-58.7478086,2317.482305,-659.4945481,0.0145546,0.0143224,0.0152529,614.7824623,183.0165485,-865.3262413,874.4295313,-2767.71279,-1168.191351,0.5918533,1,1,1
28,2026-04-03T01:10:00.095,496.1005029,506.4930918,-790.7296214,508.1772328,470.7851043,-802.8883249,517.1838016,436.673225,-816.5651075,529.5227392,411.6727441,-830.7429441,0.016995,0.0158342,0.0156012,597.3492299,170.5218022,-1016.143283,583.2321502,-1909.044068,-2089.576473,0.1197032,1,1,0
29,2026-04-03T01:10:02.510,18.12867204,2558.348312,-649.7793451,26.37267112,2481.988392,-667.5376295,24.50462437,2402.707366,-687.6091189,38.60793289,2328.141075,-707.1236945,0.0131965,0.0167784,0.0141425,342.8558371,87.17329787,-943.8893202,378.280425,-2382.967235,-1754.594742,0.7124209,1,1,1
30,2026-04-03T01:10:05.535,-217.2721368,2577.791944,-961.1850681,-220.7173396,2539.251873,-935.8294047,-238.750768,2488.780714,-914.9213097,-231.9040922,2454.029086,-891.0926973,0.0182243,0.0145437,0.0135338,-598.4407698,6.14072182,-1013.135246,-188.2061325,-1254.605491,989.4399019,1.2414649,1,1,2
31,2026-04-03T01:10:09.088,-371.3529027,2554.982076,-1023.533941,-360.1852946,2510.945576,-993.0599685,-360.4068636,2461.155409,-964.6900365,-361.1615168,2413.702382,-939.578136,0.0154163,0.0168255,0.015978,-129.5254307,259.2737491,-1018.593802,153.9427244,-1470.44519,-937.933624,1.0163019,1,1,2
