sample_id,captured_at,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,dt12,dt23,dt34,dt45,dt56,x_hit,y_hit,z_hit,vx_hit,vy_hit,vz_hit,t_hit,is_reachable,intercept_valid,bounces_before_hit,has_bounce_before_hit,hit_obs_index,hit_obs_in_workspace,hit_obs_selected_from_workspace_pool,hit_center_dist_mm
1,2026-04-05T00:28:48.832,-90.49171549930134,2367.8002663703305,-916.9908444222835,-55.894580556032,2273.0667414819777,-948.5430167138344,-62.98770140644365,2188.507166037063,-994.9813567759664,-60.35007724436355,2104.013716066951,-1036.0962139419407,-50.29187613092154,2019.0496471411325,-1078.2253169911191,-39.574117818811374,1940.2394069224176,-1095.5737304700783,0.0159897000121418,0.0141351000056602,0.0138167999975848,0.0151698999979998,0.0161952000053133,0.4240855312377789,-44.67807412517095,-919.7785829355364,77.75719555291377,-2023.3824436857649,1366.1770861563691,0.5947944999788888,1.0,1.0,0.0,0.0,44.0,1.0,1.0,48.86207628631808
2,2026-04-05T00:28:52.236,461.6348823876963,2140.277962780029,-1073.7959953824334,454.0639023838633,2086.468000046303,-1071.620663925949,449.7250299219049,2040.002437590232,-1028.5791911732026,456.27708495299294,1992.11106108446,-980.6168304923154,447.0119943674517,1947.4162723774907,-944.8925860079772,449.060142902189,1902.719621698848,-908.1980475219268,0.018970300006913,0.0128542000020388,0.0154237999813631,0.0159779000096023,0.0153558000165503,343.1905217374349,5.096789784084876,-908.526012483054,-38.5981082282289,-1365.390515488262,-1373.832949134924,0.8939152999955695,1.0,1.0,0.0,0.0,62.0,1.0,1.0,343.33424583833335
4,2026-04-05T00:29:00.452,421.51522065589984,2176.435600553648,-1041.1773754919411,412.18751329817815,2116.107868770196,-998.9444436943488,391.5770148335805,2062.3329348537363,-969.2147155363174,387.5568291966943,2006.443972991761,-934.8838872466824,362.7629529635417,1953.38170866798,-909.579767988679,352.62432221365543,1896.587532773792,-881.219110050332,0.0154085000103805,0.0135245000128634,0.0152330999844707,0.0170059000083711,0.0167655999830458,-57.06163734321035,59.65526235893981,-904.2494973533326,-585.4998567856331,-1860.075467381714,-1078.9902582159696,0.7289705000002868,1.0,1.0,0.0,0.0,50.0,1.0,1.0,82.66098844774346
5,2026-04-05T00:29:03.398,171.27978009007938,2243.360489323521,-688.2332705668314,190.0500590233387,2173.424326955607,-694.700858332365,184.3447656484177,2106.0687533263635,-703.2211029289615,179.14370784464745,2040.1323611317844,-715.6298936291419,376.3299574659695,1920.3030114471155,-700.3608522285379,350.7814039019879,1866.789759458172,-722.6477264978395,0.0161488999729044,0.0168670000275596,0.0168204999936278,0.0159491999947931,0.0153204000089317,-470.3740207340488,118.09371553273786,-934.8431390845026,-539.6183178681439,-1793.3346149291413,1265.3348317376788,0.7390103999932762,1.0,1.0,0.0,0.0,51.0,1.0,1.0,486.22205767643305
6,2026-04-05T00:29:05.318,228.686962805853,2181.511376467758,-518.696313507973,236.1148378569305,2104.9083373157737,-513.9705044615872,242.7312021226594,2030.7357943393197,-511.632269615332,260.1551551316179,1955.0425334599183,-510.9463307076924,275.52159480366663,1880.85836978791,-512.802645204114,289.1205531845558,1804.9541194020744,-517.0619400672892,0.0145272999943699,0.0183516000106465,0.013439299975289,0.0178391000081319,0.0161002000095322,510.2866253429152,95.67232699634452,-884.016006000824,-1105.3814618326876,-4439.251362569573,1659.7739977327124,0.4230113999801688,1.0,1.0,0.0,0.0,32.0,1.0,1.0,519.4238367854539
7,2026-04-05T00:29:08.679,245.8484724784571,2210.6065250453853,-646.797924264019,290.5886530547209,2131.705282143298,-639.2526353299875,288.5477552610291,2059.2096886283216,-641.6717713430396,284.70791706848377,1988.7339012997763,-646.3690515932738,290.700465239755,1916.498459276585,-652.3912423506565,283.14886560975447,1848.8757993606023,-663.2661677142123,0.0138702999975066,0.0150549999962095,0.0161446999991312,0.016736799996579,0.015872699994361,221.75236983734203,-30.00906128412248,-860.0587778808147,-11.873004293510895,-2160.765072049858,-1119.4269039904589,0.6049886000109836,1.0,1.0,0.0,0.0,44.0,1.0,1.0,227.31026926209395
8,2026-04-05T00:29:12.543,292.8779394290209,2168.064692220869,-576.6922253528393,278.10054459617004,2104.6664946682577,-580.7858712782318,268.6643996705898,2042.7000094376483,-587.6525128134292,254.6374161688996,1980.0794321039868,-596.9029303128041,246.28684951106837,1919.223451519867,-607.5562442371083,243.9150100123252,1857.053453165417,-622.8671041913383,0.0146019000094383,0.014227599982405,0.0144326000008732,0.0149059999966993,0.0142306000052485,3.658611733842463,87.49009974712385,-984.4915687645596,-155.79791934143785,-1586.2627744666324,-2119.605351652726,0.7219500000064727,1.0,1.0,0.0,0.0,52.0,1.0,1.0,121.68290013751724
9,2026-04-05T00:29:15.969,-244.8762243787014,2410.505180102725,-973.9307092344792,-225.72679378809835,2316.3935275090867,-1009.919206367813,-222.6194241188496,2228.8864437823227,-1055.786385115985,-217.4609415859436,2142.174447913986,-1101.095402037644,-199.57371297797957,2068.44474593944,-1086.7143009826186,-216.0281845069394,2003.293158284393,-1050.7472858453891,0.0162482000014279,0.0184450999950058,0.0158692999975755,0.0152593000093474,0.0148293999955058,-94.43429138411555,-40.51974005892384,-858.9324565071443,295.24985112968545,-1989.955558085235,633.67645754107,0.6321903000061866,1.0,1.0,0.0,0.0,45.0,1.0,1.0,110.66267596710463
10,2026-04-05T00:29:18.267,-300.5383428805667,2430.375810733825,-986.8385051100884,-317.02620706543485,2336.673492177221,-1016.9650413721996,-323.53794558420714,2246.751798928384,-1050.5314625386063,-331.48272932021155,2156.467989062381,-1088.2913047496827,-316.2564267226708,2062.968650465079,-1114.370090794277,-309.9264385583556,1987.1215211602996,-1082.8288264241885,0.0164117000240366,0.0174678999755997,0.0148877000028733,0.0153743000118993,0.0167501000105403,-401.9383787301836,56.01693846018725,-945.2224587760052,-186.76568141432512,-2348.8234018843355,440.3504340774753,0.5082932999939658,1.0,1.0,1.0,1.0,35.0,1.0,1.0,408.3349464207642
11,2026-04-05T00:31:02.955,285.17198782664445,2190.608560202206,-652.4191824954348,318.52411478349586,2121.700990919153,-631.7333226166545,328.5285818440468,2059.3290032168097,-617.1827087101323,308.7790810601928,2003.1946997239363,-608.3380435841259,321.3629715164607,1940.61162086276,-599.619399437648,321.8477997673885,1881.2288677948457,-592.1981587228471,0.014826600003289,0.0139546999998856,0.014613699982874,0.0129653000039979,0.0166122000082395,432.9055497155248,-90.09793851911697,-813.6339160919622,867.1959243583644,-1116.1759581751826,-949.1308489680782,0.738292599999113,1.0,1.0,0.0,0.0,53.0,1.0,1.0,450.5374057162241
12,2026-04-05T00:31:05.738,357.5313589494256,2148.635476195286,-608.8298663605125,354.07986329918094,2091.60571789369,-591.428348149323,349.537686891817,2033.6641738703656,-578.6948535908301,355.58252645835387,1974.6086663414196,-567.4044501894396,360.6615074413351,1918.2527863143869,-556.7119375623628,362.9782554895919,1860.1841445927776,-550.0214956352057,0.0157609999878332,0.0164787000103387,0.0148215999943204,0.0135740999830886,0.0138065000064671,303.91909425135464,185.47396356915533,-801.0197916964571,425.4783281950869,-1683.9253680253694,1368.1542347578336,0.5292167000006884,1.0,1.0,0.0,0.0,39.0,1.0,1.0,369.5463281490277
13,2026-04-05T00:31:08.940,-86.44294930109936,2328.544165579908,-711.9430871264881,-96.08934010082248,2255.0661597981234,-692.0768595536096,-95.66885363991604,2184.6610059306013,-674.2217413416674,-102.24618959158852,2112.7092758382632,-659.9980295832149,-129.7046067731635,2046.9569560462933,-650.9509791964701,-119.28695828754417,1976.389913261376,-639.1103332013693,0.0153070999949704,0.0184093000134453,0.0151497999904677,0.0135805000027176,0.0154319000139366,-156.71982019443112,-217.1344595674327,-867.969017495552,-39.27658335062684,-1811.7997976859644,-1729.046768767169,0.7806500000006054,1.0,1.0,0.0,0.0,50.0,1.0,1.0,269.69326912923907
15,2026-04-05T00:31:15.277,555.8954391333741,2038.2744348960243,-686.4169200512797,550.3210034464946,1968.44542640603,-682.7232623103789,541.3500036357261,1895.8905471410897,-677.2846684442839,541.4673625378489,1828.206932952785,-677.2706317949853,534.9974710197328,1759.8636016984954,-684.021188471972,533.8488917718403,1690.5820430963024,-684.0742884462572,0.0188343999907374,0.0165381999977398,0.0160297999973408,0.016367900010664,0.017439999995986,308.4031721054621,-77.90729915829684,-838.6533047568832,-1664.577089122843,-3809.859621946993,-1011.9038119406443,0.5418691000086255,1.0,1.0,1.0,1.0,39.0,1.0,1.0,323.95289911359566
16,2026-04-05T00:31:19.178,343.6747514038348,2170.4911627583665,-808.6913788759144,331.947256235728,2119.148945727931,-807.065816593536,303.6676824549422,2070.6112995482035,-809.9699259422371,307.2816994936197,2018.6460747584572,-807.887002305097,311.80643468533344,1967.2516717644728,-810.2333218746826,287.3328006914053,1918.966182251199,-823.9227690364507,0.0143958000116981,0.0156128999951761,0.0135664000117685,0.0141639999928884,0.0134951999934855,-116.6347632013194,-20.66972882396749,-1003.4808297874066,-514.0571186009769,-1538.8715151265628,609.7508862910762,1.02595989999827,1.0,1.0,0.0,0.0,71.0,1.0,1.0,157.2869600767159
