sample_id,captured_at,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,dt12,dt23,dt34,dt45,dt56,x_hit,y_hit,z_hit,vx_hit,vy_hit,vz_hit,t_hit,is_reachable,intercept_valid,bounces_before_hit
1,2026-04-04T13:59:40.432,-147.3636723,2460.850367,-948.3407678,-141.4419862,2373.584399,-990.5750592,-134.3666345,2286.37373,-1036.27348,-119.0549874,2203.947117,-1080.630423,-118.7196517,2117.169066,-1126.07745,-100.0839361,2055.815361,-1077.51054,0.0135443,0.012482,0.0126317,0.0129757,0.0158227,123.42478,59.14015,-917.1703601,561.6658554,-1488.826429,1356.63325,0.6070913,1,1,1
2,2026-04-04T14:00:21.021,140.284261,2545.655419,-942.5035998,135.1957547,2460.035487,-982.2828823,129.1084269,2373.626059,-1024.947528,121.5121664,2289.758153,-1067.9796,123.3986144,2207.001294,-1112.900551,108.9669584,2137.126154,-1084.666202,0.0177832,0.0150423,0.0136081,0.0138191,0.0156765,-81.25571711,12.31604326,-858.6827286,-5.427189437,-1767.051436,563.4756301,0.6732534,1,1,2
3,2026-04-04T14:00:28.045,-82.17026471,2502.640014,-1035.591182,-47.38751506,2418.330443,-1082.007287,-23.46235664,2336.642952,-1113.327714,-5.408839174,2277.262701,-1069.11686,18.28253421,2219.126919,-1025.563811,29.74724789,2157.832165,-989.7915445,0.0157129,0.0160944,0.0153919,0.0166894,0.0158214,587.0954545,314.8654571,-858.1637594,805.0307771,-2144.261541,1080.10807,0.6191936,0,1,1
4,2026-04-04T14:00:31.694,-92.97878512,2459.279867,-994.2039772,-99.58184177,2362.319538,-1040.518772,-106.1278431,2265.852622,-1089.229613,-103.287582,2177.805958,-1112.519948,-112.814717,2102.420093,-1072.023328,-109.0232216,2034.749984,-1027.720791,0.0160043,0.0160054,0.0170304,0.0150486,0.018678,-198.6214194,-39.00398,-910.2174304,-131.4363851,-2401.8049,1315.83249,0.5891681,1,1,1
5,2026-04-04T14:00:33.645,651.3843579,2575.633941,-925.6609159,645.2119243,2496.134878,-969.1467125,638.9220052,2416.926182,-1015.010298,640.6806751,2343.155505,-1056.28698,633.9195042,2266.064953,-1107.464908,631.2994613,2205.84724,-1072.646775,0.0163428,0.0160079,0.016404,0.0146964,0.0165278,609.9349806,277.6788477,-850.6125587,218.9462155,-1518.182302,810.6165433,0.6817431,0,1,0
6,2026-04-04T14:00:36.700,-165.2245499,2440.737584,-820.0628279,-149.4499184,2353.559462,-832.3360142,-170.5187787,2255.072245,-852.7953661,-163.3404746,2164.221,-870.6149037,-153.3641366,2078.249955,-889.6987727,-138.1463277,1998.919363,-912.9863895,0.0165152,0.0195518,0.0130108,0.015003,0.015555,-17.63250907,159.0508098,-1004.563296,452.9691376,-2462.555419,-1637.743378,0.4979302,1,1,1
7,2026-04-04T14:00:39.854,-169.0134528,2458.777053,-666.7679557,-157.2714342,2376.484561,-679.780072,-139.7274225,2298.058879,-690.5319764,-111.9167104,2222.436998,-705.5404394,-107.3403682,2139.791696,-725.2586732,-88.96191086,2062.643477,-745.9818613,0.0175306,0.0147092,0.0132801,0.0148226,0.0168291,276.305705,85.81588047,-1019.567585,380.1890609,-2087.595307,-1912.122293,0.6109241,1,1,0
8,2026-04-04T14:00:42.566,334.1912758,2443.997101,-753.1624871,311.3044447,2342.485986,-743.6828542,293.8453456,2247.324898,-742.2911929,289.8519085,2161.71772,-738.9523844,266.2907675,2066.368129,-744.1869352,253.6616333,1982.885675,-746.234795,0.0166253,0.0159792,0.0156996,0.015976,0.0153312,-156.5070762,29.97806255,-857.4832646,-637.8161165,-2636.707734,-487.9562733,0.5146692,1,1,1
9,2026-04-04T14:00:45.133,118.8690035,2522.465391,-676.6641051,154.6724305,2462.955066,-667.9555789,148.828993,2386.66231,-670.6183192,143.5655242,2308.323886,-671.2495708,142.2980372,2232.737407,-680.6965519,140.9730362,2157.754837,-689.2079881,0.0213648,0.0137157,0.0137339,0.0129097,0.0160441,70.33372101,22.63012797,-930.0463121,-220.5157067,-2545.747187,-1387.158667,0.6260272,1,1,0
10,2026-04-04T14:00:49.981,653.5588496,2594.719567,-664.8279243,655.8944536,2534.723305,-660.0808414,642.288845,2463.09432,-657.8353893,625.9310614,2389.952153,-659.9084351,605.3125586,2313.469567,-666.2066565,588.3319257,2240.077289,-673.9935503,0.0140301,0.0143281,0.0154949,0.013512,0.0127164,85.24446808,57.64715203,-1010.886834,-651.8139529,-2503.712917,-2148.628776,0.7144924,1,1,0
