sample_id,captured_at,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,dt12,dt23,dt34,dt45,dt56,x_hit,y_hit,z_hit,vx_hit,vy_hit,vz_hit,t_hit,is_reachable,intercept_valid,bounces_before_hit
1,2026-04-04T16:54:11.302,17.05740261,2488.654688,-1059.231099,13.96580752,2401.042538,-1108.415713,16.43045147,2332.622645,-1080.38328,11.98432438,2264.353117,-1040.095055,19.52836384,2201.788645,-999.7082878,10.58037141,2135.468471,-966.1853745,0.0183733,0.0125247,0.0160529,0.0170006,0.0159887,-4.641024161,4.358948811,-871.4360384,-24.22113311,-2421.730067,704.5163832,0.6460306,1,1,0
2,2026-04-04T16:55:03.669,-371.660861,2562.756415,-902.3374986,-363.8311178,2492.365082,-953.3825624,-314.4962829,2417.829851,-997.8060903,-295.7148652,2345.52293,-1048.272536,-273.3335879,2274.321481,-1100.197176,-246.6696365,2216.134508,-1093.540337,0.0157578,0.0126825,0.0116628,0.0142421,0.0149761,406.2202341,113.6328806,-806.2137275,559.0275454,-1784.209457,-239.9376646,0.8583841,1,1,1
3,2026-04-04T16:55:16.886,348.9883395,2530.440019,-1019.428264,346.5439979,2455.84644,-1071.237333,348.8781178,2385.14597,-1092.44374,344.9023332,2326.177751,-1047.275522,343.2249743,2269.886091,-1005.033675,336.2577217,2209.893987,-965.6619258,0.0156107,0.0136217,0.0157602,0.0173164,0.0150821,195.7667941,30.84872231,-801.2317398,-136.3886108,-2090.589103,414.3466043,0.7600199,1,1,0
4,2026-04-04T16:55:32.011,-339.3515944,2578.32979,-1088.880989,-338.1677092,2521.317811,-1034.171136,-329.7267788,2464.327618,-976.7174114,-341.0859179,2405.323678,-926.0511582,-328.9612507,2356.015483,-879.103321,-319.6512156,2301.813034,-831.6786552,0.0157011,0.0160755,0.0169344,0.0135242,0.0139788,-233.7646939,239.4514758,-801.8239873,79.76639695,-1867.49869,1705.369142,0.773699,1,1,0
6,2026-04-04T16:56:59.273,606.993396,2514.340931,-959.9002288,617.5809092,2462.769555,-911.3303754,611.7708702,2402.576022,-875.0286724,606.2226479,2343.376648,-841.7454175,600.3314792,2284.457106,-809.7073526,592.2076533,2225.360142,-784.3104059,0.0157523,0.0169195,0.0162785,0.0185365,0.0135017,323.4988768,-64.60483046,-828.7689991,-248.8306494,-2121.369813,-753.1217412,0.7968669,1,1,0
7,2026-04-04T16:57:17.352,409.764818,2493.514062,-981.7256954,408.8768759,2420.747219,-1038.98358,411.981297,2350.386585,-1094.659961,407.5247527,2295.548292,-1062.991554,407.7402384,2246.168073,-1010.666558,407.3979364,2195.753431,-960.7130975,0.0175699,0.015036,0.0186074,0.0144263,0.0140621,302.6869324,-73.77076158,-801.6655412,-81.19509927,-1696.549269,-993.2111247,0.9648285,1,1,0
8,2026-04-04T16:57:26.828,430.3194632,2458.739738,-915.3366831,435.4648695,2384.498513,-968.6630017,439.2732425,2311.663864,-1021.859039,436.2609901,2235.672828,-1081.171403,437.5531934,2174.785201,-1078.597554,436.0302775,2122.091413,-1028.640272,0.0175811,0.0154063,0.0170541,0.0149731,0.019624,331.2332962,34.28372353,-803.7403428,-97.12483321,-1920.419685,1057.820297,0.7814385,1,1,1
9,2026-04-04T16:58:00.380,-205.3405497,2554.027792,-918.5544558,-202.6698194,2474.586004,-975.3308913,-206.7643135,2394.589349,-1038.86326,-207.5100548,2316.684164,-1101.938611,-205.382875,2257.35061,-1078.112916,-204.4857003,2203.466046,-1022.405041,0.0132892,0.0167043,0.014676,0.0175858,0.0170945,-157.3185282,67.50544424,-813.1734273,53.69784621,-1878.092325,1494.835287,0.7999357,1,1,1
10,2026-04-04T16:58:05.120,-267.5564514,2530.823473,-648.7179563,-247.4909388,2460.559978,-686.916239,-253.9812092,2384.224689,-732.34039,-264.3179295,2310.957625,-780.8720428,-261.1684425,2238.976187,-828.0623831,-263.1955875,2164.444331,-879.7050161,0.0188055,0.0146969,0.0152136,0.0150547,0.0115679,-426.5424377,90.81551804,-842.1237388,-138.8491041,-1628.296707,1670.228627,0.8628284,1,1,1
11,2026-04-04T16:58:11.036,484.775464,2478.991863,-1054.492874,485.9135451,2410.490522,-1084.587619,488.9124003,2361.164816,-1025.377742,485.4467646,2309.760255,-972.4244435,483.7512857,2258.778461,-921.2306246,485.7462082,2211.060145,-871.2012761,0.0175193,0.0156566,0.0152899,0.0175026,0.014804,511.0323074,194.8051918,-804.4975271,21.92071235,-1837.239574,1628.031814,0.7747522,1,1,0
12,2026-04-04T16:58:32.934,199.7993746,2545.28508,-979.2604722,232.7151981,2486.634848,-1018.970492,234.1814419,2420.028221,-1080.431724,232.1329656,2364.674215,-1087.423933,239.8594087,2323.790721,-1028.579875,240.3837725,2281.02322,-981.5185177,0.016262,0.0167185,0.0150111,0.0176463,0.0168498,385.2920435,4.826731121,-884.2493335,96.05464501,-1526.024713,-1744.513335,1.0869227,1,1,1
13,2026-04-04T16:58:37.368,-3.762062175,2531.39727,-805.7651981,18.95582305,2452.32642,-835.9236211,39.43052159,2371.644134,-869.0206667,37.95183191,2288.667426,-910.7726659,46.23903939,2208.987355,-948.8655519,53.36887331,2128.918694,-988.1294399,0.0180712,0.0157166,0.0151365,0.0184359,0.0142475,230.246742,16.0541973,-904.8584516,160.5085773,-2168.320489,896.3125984,0.6952708,1,1,1
14,2026-04-04T16:58:57.717,-48.39764345,2514.516771,-1004.074594,-56.53799743,2450.827597,-1062.024257,-69.45405046,2387.946647,-1114.560918,-71.09157831,2348.869527,-1061.707606,-63.90639894,2311.402725,-1006.104359,-72.57100645,2270.709915,-960.7048652,0.0151659,0.0161435,0.0155938,0.0164908,0.0190227,-218.5966671,-25.42883901,-927.9549599,-77.98333794,-1142.194414,1511.571928,1.2641581,1,1,0
15,2026-04-04T16:59:04.644,35.39701389,2503.082678,-888.8582738,26.36706799,2430.686723,-946.6370206,26.4819334,2359.468168,-1000.246427,20.84403467,2288.681068,-1058.284543,22.65735958,2220.69818,-1113.271335,28.08636641,2174.856385,-1061.992767,0.0124209,0.0179813,0.0128826,0.0151688,0.0153709,9.87188191,-148.2370566,-804.6373028,-11.35476927,-1628.823861,-1099.62529,1.0265062,1,1,1
16,2026-04-04T16:59:09.665,72.28704339,2546.312051,-947.9199007,94.66528766,2477.000212,-998.3944389,94.04060137,2402.854128,-1060.329322,108.0481937,2335.609226,-1106.754638,104.470535,2289.256559,-1054.091446,106.5965536,2244.235426,-1000.316754,0.013128,0.0157577,0.0150105,0.0165713,0.0173387,234.5445079,-105.1759304,-801.9547868,81.4642194,-1569.103656,-1337.489506,1.0743481,1,1,1
17,2026-04-04T16:59:14.590,271.4540739,2489.322144,-862.9948188,269.5300783,2415.355304,-919.1983118,268.2200706,2342.637858,-976.455783,279.1415358,2274.58105,-1031.240184,270.2414928,2202.005014,-1095.162922,274.1360246,2150.789388,-1071.689123,0.0159483,0.0168673,0.0108481,0.0150137,0.0161102,308.7174252,228.0822107,-801.744338,28.2915843,-1708.706522,1387.822267,0.8157645,1,1,1
19,2026-04-04T16:59:50.613,-304.1215562,2553.187952,-842.8008409,-284.9784704,2477.376426,-887.2164234,-281.1721315,2404.545071,-934.8533405,-281.4204879,2329.553378,-988.9927094,-281.8160138,2257.707235,-1041.703693,-290.7804961,2184.042599,-1100.424464,0.0168553,0.0175849,0.014879,0.0156269,0.0165691,-326.6595112,-112.4333232,-802.1526073,-27.80599673,-1637.967928,-938.2072383,1.0080892,1,1,1
22,2026-04-04T17:00:45.517,271.879415,2521.093822,-946.9906067,268.4920621,2443.212806,-1003.031307,269.9333256,2366.696988,-1061.214524,270.0443949,2292.820621,-1102.950518,274.7613206,2241.74625,-1050.572706,276.7720858,2188.809765,-998.6414381,0.0156495,0.0152464,0.0173363,0.0163757,0.0158291,367.8207713,90.82818407,-804.3459946,75.71850784,-1950.132478,1079.773562,0.7790136,1,1,1
